id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url
14,L+,21000000,21000000,1052526,2024-11-05,PRECIOSA RESIDENCIA FRACC ARAUCO CERCA ZONA PLATEADA PACHUCA HGO,830,830,25301.204819277107,25301.204819277107,2023-12-07,206,6,2024-07-03,Casa,Venta,1,4,4,0,4.0,No,,pachuca de soto,pachuca de soto,hidalgo,centro,42000.0,"Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-7bf92d6e616d-1935-6e4eb2ae-86cb-32b6
15,L+,21000000,21000000,1052526,2024-11-05,RESIDENCIA EN FRACCIONAMIENTO RESIDENCIAL ARAUCO...,834,830,25179.856115107912,25301.204819277107,2024-06-02,31,1,2024-07-03,Casa,Venta,1,4,4,0,4.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-ffa5c200d25c-c4e1-62df9f27-885a-4536
16,L+,21000000,21000000,1052526,2024-11-05,REAL DE LAS ESMERALDAS CASA VENTA PACHUCA HIDALGO,2451,495,8567.931456548347,42424.24242424242,2022-12-01,577,19,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,fraccionamiento,real del valle,pachuca de soto,hidalgo,real del valle,42086.0,"Fraccionamiento Real del Valle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-760270ef59a5-4c97-8e505c2e-9102-3e40
17,L+,20995000,20995000,1052276,2024-11-05,En venta hermosa casa residencial Pachuca,836,829,25113.636363636364,25325.693606755125,2023-04-20,438,14,2024-07-03,Casa,Venta,1,4,9,0,9.0,No,,el tezontle,pachuca de soto,hidalgo,el tezontle,42084.0,"El Tezontle, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-15257b7ca84f-b833-4c50cdfb-8594-3c49
18,L+,20500000,20500000,1027466,2024-11-05,VENTA DE HERMOSA RESIDENCIA EN VALLE DE SAN JAVIER,580,400,35344.8275862069,51250.0,2023-05-19,409,13,2024-07-03,Casa,Venta,1,3,2,0,2.0,No,fraccionamiento,valle de san javier,pachuca de soto,hidalgo,valle de san javier,42086.0,"Fraccionamiento Valle de San Javier, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-45a49960859f-ff6b-e8c26150-8798-4b61
19,L+,20500000,20500000,1027466,2024-11-05,Residencia en Arboledas de Santa Elena,1437,747,14265.831593597772,27443.105756358767,2023-04-24,434,14,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,fraccionamiento,valle de san javier,pachuca de soto,hidalgo,valle de san javier,42086.0,"Fraccionamiento Valle de San Javier, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-499a740e21cb-3852-3e94546c-981e-30ab
20,L+,19900000,19900000,997394,2024-11-05,"Se vende Casa en Fraccionamiento Santa Elena; Pachuca, Hidalgo.",1300,500,15307.692307692309,39800.0,2023-07-14,349,11,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,frac,c arboledas santa elena,pachuca de soto,hidalgo,arboledas santa elena,42086.0,"Fracc Arboledas Santa Elena, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-1b2c9acbbbbb-307-dbf5f6cd-804a-37ac
21,L+,19850000,19850000,994888,2024-11-05,CASA RESIDENCIAL DE LUJO EN PACHUCA,1437,746,13813.500347947112,26608.579088471848,2023-04-20,438,14,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,fraccionamiento,valle de san javier,pachuca de soto,hidalgo,valle de san javier,42086.0,"Fraccionamiento Valle de San Javier, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-cd41a22a9384-630f-8a70ac9a-b9f6-3f65
22,L+,18500000,18500000,927226,2024-11-05,Casa - Pachuca,500,600,37000.0,30833.33333333333,2023-10-25,248,8,2024-07-03,Casa,Venta,0,3,3,0,3.0,No,,campo de golf,pachuca de soto,hidalgo,club de golf,42083.0,"Campo de Golf, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-22110a55cb65-9205-dea21fe-b4f9-320f
23,L+,18500000,18500000,927226,2024-11-05,VENTA DE CASA CLUB DE GOLF FRENTE AL GREEN EN PACHUCA,500,600,37000.0,30833.33333333333,2023-04-24,434,14,2024-07-03,Casa,Venta,1,3,4,0,4.0,No,,venta prieta,pachuca de soto,hidalgo,venta prieta,42083.0,"Venta Prieta, Pachuca de Soto, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-a7a409f40f9e-1d4e-730cab8f-bccf-30b4
