propiedad,tipo,precio,denominacion,visualizaciones,metros_total,metros_construido,banos,medio_banos,estacionamientos,recamaras,antiguedad,tiempo_de_publicacion,status_desarrollo,ubicacion,url,descripcion,latitud,longitud
Casa Tipo Cabaña Amueblada y Equipada en Venta Fracc Pedregal de San Francisco,Casa,3950000,MXN,51,190,113,1,1,0,2,2022,Publicado hace 252 días,venta,"Privada Rincón del Sol 223 Cabaña A,  Fraccionamiento Pedregal de San Francisco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-tipo-cabana-amueblada-y-equipada-en-venta-fracc-142385749.html,Casa tipo Cabaña completamente amueblada y equipada en Venta Fraccionamiento Pedregal de San FranciscoDistribución:Planta Baja• Sala • Comedor con chimenea• Cocineta• 1/2 baño• Garage para 10 autos• Jardín • BodegaPrimer piso.• 2 Recamaras con Balcón• Baño completoCaracterísticas:• m2 Terreno: 190 m2.• m2 Construcción: 113 m2.• Edad: 3 años• Niveles construidos: 2 niveles.• Uso de suelo: Habitacional.• En fraccionamiento residencial con vigilancia 24 hrs y áreas verdes comunes.,20.064998400000000,-98.402677799999992
Casa en Venta Tulancingo Hidalgo,Casa,2300000,MXN,49,141,143,2,1,1,3,10,Publicado hace 104 días,venta,"PRESIDENTE MAZARIK 126,  La Morena, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-tulancingo-hidalgo-143807671.html,AMPLIA CASA EN VENTA Son tres recámaras Principal con baño completo y balcón Segunda y tercera recámara comparten baño completo . Segunda recámara con balcon Área de sala comedor Cocina integral equipada Estudio Medio baño de visitas . Dos estacionamientos Área de Lavado . Acceso automatizado. Documentación lista para escriturar . Si no cuentas con un crédito te tramitamos uno .,20.097833900000000,-98.371843200000000
"Casa en Fraccionamiento Cerrado, Cima Dorada Tulancingo",Casa,950000,MXN,43,105,77,1,0,1,2,2,Publicado hace 285 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-fraccionamiento-cerrado-cima-dorada-142131581.html,"El fraccionamiento Cima Dorada cuenta con 2 acceso con caseta de vigilancia, pista para caminatas, área de asadores, cancha de basquetbol y área de juegos para niños.Ubicado a tan solo 5 minutos del centro de la cuidad,a un costado de la zona Arqueológica de Huapalcalco, muy cerca de clínicas médicas, hospitales, escuelas, establecimientos comerciales, central de autobuses, transporte público a una cuadra.La casa cuenta con:Sala-comedor.Cocina con tarja.1 baño completo.2 recámaras amplias.Patio de servicio.Cochera para 1 vehículos.Jardín interior artificial con acceso por sala comedor.AMENIDADES:Cisterna de 3,300 litrosTanque estacionario.Calentador de gas.Tinaco de 1,100 litros.Bomba de agua.Luminarias LED.*TAMBIEN CONTAMOS CON ELMODELO DETRES RECAMARAS POR ELCOSTO DE $980 MIL*Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.110183020892357,-98.359737396240248
Cabaña en Venta en Tepalzingo Hidalgo,Casa,2500000,MXN,36,4600,180,2,1,0,2,9,Publicado hace más de 1 año,venta,"Carr. Tulancingo-Huachinango,  Barrio Tepalzingo, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-cabana-en-venta-en-tepalzingo-hidalgo-90270591.html,"$2,500,000 VENTA 4,600 m2 de terreno 180m2 de construcción 2 recamaras con baño 2 baños Chimenea Cocina integral Espacio para sala Comedor Cuenta con servicio de agua y luz 1 tinaco de 5,000lts 1 tinaco de 1,000lts Se encuentra a frente a crucero de Pahuatlán y a 15 min de un balneario y de Acaxochitlan",20.140496100000000,-98.207573100000000
Casa Nueva en Fracc Toledo Tulancingo,Casa,1060000,MXN,56,105,71,1,0,1,2,2,Publicado hace 48 días,venta,",  Rojo Gómez, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-en-fracc-toledo-tulancingo-144277663.html,"La casa se encuentra en Fracc. Toledoubicadoa 15 minutos de la Ciudad de Tulancingo, en una zona tranquila y acogedora para toda la familia, cuenta con todos los servicios (agua, luz, drenaje)Tendrás la facilidad de encontrar escuelas cercanas, tiendas de autoservicio, tienda3B, tiendas para articulos del hogar, transporte publico y zonas de areas verdes.La casa de un nivel cuenta con:Sala.Comedor.Cocina2 recámaras. 1 baño completo.Patio de servicio.Estacionamiento para 1auto.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Casa en Venta en Fraccionamiento Pedregal de San Francisco, Tulancingo, Hidalgo",Casa,7700000,MXN,,343,405,2,2,0,3,17,Publicado desde ayer,venta,"Blvd Pedregal de San Francisco 623  , Pedregal de San Francisco , 43673 Tulancingo de Bravo, Hidalgo, México,  Fraccionamiento Pedregal de San Francisco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-fraccionamiento-pedregal-de-san-144670357.html,"Ref: 2 2 3 1 9 3Bienvenidos a esta increíble oportunidad de adquirir una casa en venta en Pedregal de San Francisco, en Tulancingo de Bravo, Hidalgo. Esta espaciosa propiedad cuenta con 3 recamaras, 2 baños completos, 2 medio baños y una construcción de 405 m2. Además, cuenta con comodidades como estacionamiento para visitas, bodega, área de lavandería, jardín, cuarto de servicio, sala de estar, cocina equipada, cuarto de TV, sala y comedor, y su propio salón de eventosPedregal de San Francisco es una zona tranquila y segura, con acceso restringido, seguridad las 24 horas y hermosas calles, perfecta para familias que buscan un ambiente residencial. Con una ubicación privilegiada y acceso inmediato a vías rápidas, este fraccionamiento permite trasladarse a cualquier punto de la ciudad facilitando la movilidad.No pierdas la oportunidad de vivir en esta maravillosa casa en una de las mejores zonas de Tulancingo de Bravo, ¡contáctanos para más información!",20.066180099999968,-98.401612299999996
"Casa en Privada Residencial, Mod Lugo; Tulancingo Hgo",Casa,2400000,MXN,16.0,119,154,3,0,0,4,4,Publicado hace más de 1 año,venta,"RANCHO NUEVO,  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-privada-residencial-mod-lugo--tulancingo-hgo-55562136.html,"FRACCIONAMIENTO RANCHO NUEVOEs una zona inigualable, a unos pasos de mega comercial mexicana, plaza patio (centros comerciales, bancos, pizzería, cine, centros de reunión) a 10 minutos del centro de la ciudad.La Privada cuenta con áreas de recreación, asadores, juegos infantiles y caseta de vigilancia.Casa de 2 niveles que cuenta con:Planta baja:Garaje para un carro.Sala.Comedor-cocina.Cuarto de servicios.Estudio o recámara para las visitas.Baño completo.Jardín posterior. Planta alta: 2 recámaras secundarias.1 baño completo compartido para recámaras secundarias.Vestíbulo.Recámara principal con vestidor y baño completo.Precios de venta desde $2400,000Se aceptan créditos hipotecarios, trámite SIN COSTODISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.076993333571490,-98.387567996978773
"Casa Centrica en Tulancingo Hidalgo, Col. La Morena",Casa,3800000,MXN,19.0,210,160,2,1,0,3,1,Publicado hace 18 días,venta,",  La Morena, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-centrica-en-tulancingo-hidalgo-col.-la-morena-144527179.html,"La Morena es una zona con excelente plusvalía se ubicaa 3 minutos de la central de abastos ya solo 5 minutosdel centro de Tulancingo, de la central de autobuses, y de Bodega Aurrera.Tiene acceso a la carretera Tulancingo-Pachuca.La zona cuenta con todos los servicios y encontrarása tu alcance para las necesidades básicas de tu hogartiendas locales, tiendas de auto-servicio, panaderías, restaurantes, lavanderías, Oxxo y transporte publico.La casa de dos niveles se encuentra distribuida en:-1er nivel:Cocina integral con islaComedorSalaDespacho1/2 BañoCuarto de servicioTerraza trasera-2donivel:Recámara principal con baño completo y area devestidor1 Recámara con un cuarto para vestidor1 Recámara con espacio para closet1 baño completo-Amenidades:Cubo de iluminacionCisternaPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Casa Residencial Equipada en Tulancingo, Pedregal de San Francisco",Casa,3850000,MXN,30,158,320,4,0,0,4,4,Publicado hace 25 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-residencial-equipada-en-tulancingo-pedregal-de-144495426.html,"El Fraccionamiento Residencial Pedregal de San Francisco ubicado en Tulancingo Hidalgo, es una de las zonas más exclusivas de la ciudad, reconocida por su alta plusvalía y seguridad.Este fraccionamiento cuenta con:Áreas verdesVigilancia 24 horasControl de acceso mediante tarjetas de proximidadBardas perimetrales y personal que regula la entrada de visitantesEstogarantiza un alto nivel de privacidad y tranquilidad para los residentes.Y alado se encuentra un club deportivo, lo que brinda un estilo de vida activo sin la necesidad de desplazarse largas distancias.El complejo está bien ubicado, a solo 8 minutos de Plaza Patio Tulancingo, donde se encuentran servicios como supermercados, bancos y restaurantes.También está cerca de escuelas de calidad, como el Colegio Tollantzingo y el Colegio Pedro de Gante, lo que lo convierte en un lugar ideal para familias.Se encuentraaproximadamente a 12 minutos del centro de Tulancingo, proporcionando fácil acceso a los servicios delcentrourbano.La casase distribuye en:-1er nivel:CocinaComedorSalaRecámara / estudioBaño completoUn pequeño jardínPatio de servicioCochera para 2 autos-2donivel:Sala de TVRecámara principal con baño completo, vestidor y terraza.2 recámaras1 baño completo-3cer nivel:Roof GardenCuarto de lavadoBaño completo-Amenidades:Cimientos de piedraMuros de tabique rojo recocidoLosas macizasPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
Casa con 3 Recámaras y 121 m de Terreno en Fracc. Magisterio 2,Casa,1995000,MXN,67,121,175,3,0,1,3,3,Publicado hace 220 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-con-3-recamaras-y-121-m-de-terreno-en-fracc.-142787831.html,"La zona es tranquila, con acceso a todos los servicios, transporte público, cerca de escuelas públicas y privadas, a 10 min del centro de Tulancingo, a pocos metros de la carretera federal y autopista México-Tuxpan y Pachuca-Tulancingo.La casa de 2 niveles cuenta con:PLANTA BAJACocina con tarja.1 medio baño.Sala.Comedor.Cochera para 2autos.Estudio.Patio de servicio.PLANTA ALTA3 recámaras.1 baño completo.Área de lavado.Roof garden.AMENIDADESCisterna de 5,000 litros.Reja.Calentador solar.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.064759538603514,-98.406558036804213
Excelente Casa en Preventa en San Andres Tulancingo,Casa,2150000,MXN,28,150,154,2,1,1,3,1,Publicado hace 55 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-excelente-casa-en-preventa-en-san-andres-tulancingo-144232046.html,"La casa en preventa se encuentra ubicada en la colonia San Andres, cuenta con todos los servicios de luz, agua, drenaje, cable, internet;es un lugar tranquilo para estar con tu familia. Cuenta con tiendas de autoservicio, parques, estancia infantil, farmaciay restaurante.-Planta baja:ComedorCocinaSala1/2 BañoEscalerasEstacionamiento-Planta Alta3 RecamarasPasillo1 Baño Compartido1 Baño Principal-Amenidades:Patio CentralCuarto de LavadoTerrazaJardínPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
Casa Economica Nueva Indigo en Fraccionamiento Residencial Tulancingo,Casa,945000,MXN,26,66,66,1,0,1,2,2,Publicado hace 67 días,venta,",  Fraccionamiento Valle Verde, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-economica-nueva-indigo-en-fraccionamiento-144121884.html,"Fracc. Residencial Rancho Santa clara se encuentra en Valle Verdel, la cual es una zona inigualable, a unos pasos de mega comercial mexicana, plaza patio (centros comerciales, bancos, pizzería, cine, centros de reunión),y a 10 minutos del centro de la ciudad.El Fraccionamiento te ofrece una casa de dos niveles exclusiva, lujosa yamplia con las siguientes características:-Planta baja:CocinaSalaComedorMedio bañoEstacionamientoPatio de servicioÁrea de guardado y jardín-Planta alta:Pasillo2 Recámaras1 BañoPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Proyecto de Casa en Privada Residencial, Tulancingo Hidalgo",Casa,2650000,MXN,16,202,135,2,0,0,3,0,Publicado hace más de 1 año,venta,"TERRANOVA,  La Cañada, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-proyecto-de-casa-en-privada-residencial-tulancingo-80150401.html,"PROYECTO DE CASA Residencial Terranova es una zona con excelente plusvalía, gracias a su ubicación tiene cerca bancos, escuelas, central de autobuses, hospitales, avenidas importantes de Tulancingo y esta cerca de la Plaza del Vestido.Al ser un proyecto de casa en construcción, se tiene la ventaja de supervisar la obra; asi como de elegir colores de pisos, azulejos, puertas, cocina; asi como si se desea hacer alguna adecuación personal. La casa cuenta con: 3 recámaras. Recámara principal con baño. Sala-comedor. Cocina integral con barra desayunador. Jardín interior. Cuarto de lavado. Garaje 2 autos. Cisterna de 8,500 lts. Roof garden iluminado con asador. PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. *Todas las imágenes mostradas son solo para fines ilustrativos y pueden NO ser la representación exacta del inmueble. Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa citaMayores informes y citas: 7Ver datos // Ver datos // Ver datos // Ver datos""HAY UN LUGAR ESPERANDO SER TU HOGAR""",20.105502141908190,-98.347847635937500
"Casa Nueva en Privada San Daniel, Tulancingo Hidalgo",Casa,1150000,MXN,25.0,105,62,1,0,1,2,3,Publicado hace 216 días,venta,",  Fraccionamiento Privada san Daniel, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-en-privada-san-daniel-tulancingo-hidalgo-142803252.html,"CASA EN PRIVADA SAN DANIELCasa ubicada en Privada San Daniel muy cerca de la Unidad Deportiva, excelente ubicación a 10 min del centro de Tulancingo y a 5 min de la central de abastos.La zona cuenta con escuelas públicas y privadas (de educación básica, media, media superior y superior), parques cerca, gasolineras, tiendas de auto servicio, etc...La casa cuenta con:2 recámaras.Sala.Comedor.Cocina.1 baño.Área de lavado.Cochera para un vehículo.Cisterna.Construccion nueva.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090345299999999,-98.379709099999999
"Casa Nueva Equipada en Fracc Privado, Tulancingo",Casa,1695000,MXN,,105,120,2,0,0,3,3,Publicado desde ayer,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-equipada-en-fracc-privado-tulancingo-144675241.html,"Fraccionamiento Villas Santa María se encuentraubicado en Tulancingo, Hidalgo. A solo 10 minutos del centro de la ciudad.Por su ubicación cuenta con accesosa CDMX yPachuca, muy cerca dela carretera México-Tuxpan.La zona cuenta con todos los servicios, a sus alrededores podrás encontrar establecimientos de primera necesidad, farmacias, transporte público cercano, escuelas desde nivel básico hasta superior (Universidad Técnológica de Tulancingo).Ideal para familias que comienzan su patrimonio o que buscan un espacio más acogedor, con seguridad y tranquilidad.Planta Baja:- Cocinaintegral- Comedor- Sala con doble altura- Recámaracon closet- Baño completo- Patio de Servicio- Estacionamiento para dos autosPlanta alta:- Recámara principalcon closet- Balcón- Recámara con closet- Baño completoAmenidades:- Jardín- Cisterna de 4000 litrosPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Casa en Privada Arboledas, Col Rancho Nuevo, Tulancingo",Casa,1695000,MXN,27,105,114,2,0,0,3,1,Publicado hace 268 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-privada-arboledas-col-rancho-nuevo-90417069.html,"Casa en Privada Arboledas, Fracc. Rancho Nuevo.Rancho Nuevo es una zona con excelente plusvalía que cuenta con todos los servicios, áreas verdes, zona tranquila y segura para comenzar un patrimonio con tu familia.Está a unos metros de carretera, escuelas públicas, privadas, salones de fiestas, tiendas locales y comerciales (SAMS, VIPS, CINES, OFFICE DEPOT, BANCOS,VETERINARIAS y demás.)Casa de dos plantas con la siguiente distribución:T. 105 m2C. 114 m2Amenidades:Alberca techadaAsadorFogateroCamellón central con área verdePlanta BajaGarageSalaComedorCocinaRecámara / EstudioBaño CompletoPatio posteriorÁrea de servicioPlanta AltaRecámara 1 con vestidor y terrazaRecámara 2 con vestidorBaño completoSe aceptan créditos hipotecarios, trámite SIN COSTODISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.079996211465775,-98.392910957336439
"Casa Nueva en Esquina Napateco, Tulancingo",Casa,1260000,MXN,9,196,156,3,0,1,3,3,Publicado hace 9 días,venta,",  Napateco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-en-esquina-napateco-tulancingo-144604806.html,"La casa se encuentra en Privadas de Napateco. Esun lugartranquiloy acogedorpara toda la familia.La zona cuenta con todos los servicios y seubicada a 15 minutos de la Ciudad de Tulancingo.Tendrás la facilidad de servicios comoescuelas cerca desde primaria hasta universidad, farmacias, hospitales, tiendas de autoservicio, gasolinera y todo tipo de comercio de primera necesidad.La casa de dos niveles cuenta con:-Planta baja:CocinaComedorSalaBañoPatio de servicioEstacionamiento para un auto-Planta alta:Recamara principal con espacio para vestidor ybaño2 Recamaras1 Baño-Amenidades:Calentador solarTanque estacionarioPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Casa en Privada, Tulancingo de Bravo, Residencial Riva Palacio",Casa,3000000,MXN,28,200,170,3,0,1,2,2,Publicado hace más de 1 año,venta,",  La Escondida, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-privada-tulancingo-de-bravo-residencial-riva-90742672.html,"Casa Residencial en Privada Riva Palacio, en Col. La Escondida.La colonia La Escondida, se encuentra en la zona centro de la Ciudad de Tulancingo Hidalgo, a escasos 5 minutos del primer cuadro de la ciudad, ubicada en una zona tranquila y segura.La colonia cuenta con escuelas públicas y privadas, muy cerca del Colegio Pedro de Gante, cerca del parque infantil el Caracol, iglesia,a 8 minutos del centro Comercial Plaza Patio Tulancingo, donde podrás encontrar el supermercado, cine, office depot, Coppel, peter pizza, Sams, Vips, etc¦.La casa 1 nivel cuenta con:Sala.Comedor.Cocina.1 medio baño.2 recámaras grandes con vestidor.2 baños completos.Garaje para 1 auto.Cuarto de lavado.Amenidades:Tanque estacionario.Cisterna de 10,000 litros.Zaguán automático.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.079633450748332,-98.378791809082031
"Casa Economica en Napateco, Bienvenidos Créditos Hipotecarios",Casa,740000,MXN,30,92,58,1,0,1,2,2,Publicado hace 208 días,venta,",  Napateco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-economica-en-napateco-bienvenidos-creditos-142891965.html,"Casaen venta en Napateco, Fraccionamiento Los Arcos.La colonia cuenta con todos los servicios, en la zona encontrarás tiendas, establecimientos de comida, farmacias, Oxxo, gasolinera, espacios para realizar ejercicio al aire libre, parque para los pequeños de tu hogar, canchas para practicar algún deporte, guarderías, escuelas de nivel básico, universidad a solo 10 minutos de la colonia. El centro de Tulancingo está a solo 15 minutos de Napateco, cuenta con transporte directo a la colonia.La casa de 1 nivel cuenta con:Sala-comedor.Cocina forrada de azulejo y opción poner barra.1 baño completo forrado de azulejo.2 recámaras.Patio de servicio con protección en techo.Cochera para un auto.Amenidades:Construcción tradicional.Cimentación de piedra, para 2do nivel.Ladrillo.Losa maciza.Boiler instantáneo (ahorro un 40% de gas)Se encuentran en construcción, se entregan completamente terminadas.BIENVENIDOS CRÉDITOS HIPOTECARIOS: INFONAVIT, FOVISSSTE, BANCARIO, CFE, ISSFAM, IMSSDISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.141351138260510,-98.338022232055678
Casa Nueva de 3 Recamaras en San Isidro,Casa,1380000,MXN,65.0,100,130,2,0,1,3,3,Publicado hace 48 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-de-3-recamaras-en-san-isidro-144291631.html,"La casa de dos nivelesubicada en San Isidro a solo 16 minutos del centro de Tulancingo y a 8 minutos del centro de Santiago Tulantepec. La colonia cuenta con servicios de luz, agua, drenaje, tiendas de primera necesidad,transporte público.-Planta baja:Cocina concocinetaComedorSala1 recámara1 baño completoPatio de servicioCochera para1 auto-Planta alta:2 Recamaras amplias1 Baño completo-Amenidades:Cisterna de 5mil litros-Se entrega impermializadoPregunta por la forma de pagoDISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
"Casa Nueva Equipada en Fracc Privado, Tulancingo",Casa,1695000,MXN,,105,120,2,0,0,3,3,Publicado desde ayer,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-equipada-en-fracc-privado-tulancingo-144675241.html,"Fraccionamiento Villas Santa María se encuentraubicado en Tulancingo, Hidalgo. A solo 10 minutos del centro de la ciudad.Por su ubicación cuenta con accesosa CDMX yPachuca, muy cerca dela carretera México-Tuxpan.La zona cuenta con todos los servicios, a sus alrededores podrás encontrar establecimientos de primera necesidad, farmacias, transporte público cercano, escuelas desde nivel básico hasta superior (Universidad Técnológica de Tulancingo).Ideal para familias que comienzan su patrimonio o que buscan un espacio más acogedor, con seguridad y tranquilidad.Planta Baja:- Cocinaintegral- Comedor- Sala con doble altura- Recámaracon closet- Baño completo- Patio de Servicio- Estacionamiento para dos autosPlanta alta:- Recámara principalcon closet- Balcón- Recámara con closet- Baño completoAmenidades:- Jardín- Cisterna de 4000 litrosPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
