id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
15,E1,338000.0,338000.0,18801,2024-10-02,CASA EN PUEBLA MUY LINDA CON JARDIN!!,800,417,422.5,810.5515587529976,2024-04-05,83,2,2024-06-28,Casa,Venta,2,4,1,0,1.0,No,,La Calera,Puebla,Puebla,"La Calera, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-4f0cc2d6f66e-66ec-e29d965a-8ec0-4759
16,E1,344966.0,344966.0,19189,2024-10-02,"Casa en venta en Privada Sinaloa , El Carmen Puebla Puebla                    LPPA",220,200,1568.0272727272727,1724.83,2024-03-03,115,3,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,El Carmen,Puebla,Puebla,"El Carmen, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-5c75ce397071-c685-75b5e34f-b6af-44be
17,E1,355000.0,355000.0,19747,2024-10-02,venta de casa en guerrero 120 el cerrito puebla,160,210,2218.75,1690.4761904761904,2024-05-30,29,0,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-896aa7e0d6be-951c-874ff001-a954-41fa
18,E1,356000.0,356000.0,19802,2024-10-02,Casa en San Isidro Puebla,80,80,4450.0,4450.0,2024-06-21,7,0,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-889e72994390-6c1b-a7326144-9813-434d
19,E1,356000.0,356000.0,19802,2024-10-02,Casa en San Isidro Puebla,80,80,4450.0,4450.0,2024-06-27,1,0,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-889e72994390-6c1b-a7326144-9813-434d
20,E1,356500.0,356500.0,19830,2024-10-02,"Casa en Venta en Residencial Santa Clara 1, Puebla",70,80,5092.857142857143,4456.25,2024-05-29,30,0,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Educadores,Puebla,Puebla,"Educadores, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-d9970712eca9-ce94-2476f476-8c59-4582
21,E1,363200.0,363200.0,20203,2024-10-02,"Casa en Venta en Fraccionamiento Momosa, Puebla",70,70,5188.571428571428,5188.571428571428,2024-06-21,7,0,2024-06-28,Casa,Venta,2,2,1,0,1.0,No,,La Joya,Puebla,Puebla,"La Joya, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-ed5cb2c6be20-6dea-4f2e14e4-8806-410f
22,E1,363200.0,363200.0,20203,2024-10-02,"Casa en Venta en Fraccionamiento Momosa, Puebla",70,70,5188.571428571428,5188.571428571428,2024-06-27,1,0,2024-06-28,Casa,Venta,2,2,1,0,1.0,No,,La Joya,Puebla,Puebla,"La Joya, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-ed5cb2c6be20-6dea-4f2e14e4-8806-410f
23,E1,363750.0,363750.0,20234,2024-10-02,"GRAN CASA EN PUEBLA, LOS HEROES, PRECIO INCREIBLE NO LO DEJES PASAR !!! NO CREDITOS ¡¡¡",90,120,4041.6666666666665,3031.25,2024-06-27,1,0,2024-06-28,Casa,Venta,2,2,1,0,1.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-80ff750f4b89-ca16-86f8a621-b589-4606
24,E1,365000.0,365000.0,20303,2024-10-02,"APROVECHA, Bonita Casa cerca de la BUAP, APARTALA YA!!! OAHM",140,260,2607.1428571428573,1403.8461538461538,2023-06-09,384,12,2024-06-28,Casa,Venta,2,4,2,0,2.0,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-3a34fe44a25e-3490-37f9cbee-9228-4548
25,E1,371133.0,371133.0,20644,2024-10-02,"EXCELENTE OPORTUNIDAD DE INVERSION, RECUPERACION BANCARIA",70,70,5301.9,5301.9,2024-05-30,29,0,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,La Joya,Puebla,Puebla,"La Joya, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-dbcb4de1abd8-7bc4-f88131de-8a43-4f38
26,E1,371133.0,371133.0,20644,2024-10-02,"Venta de casa en Col. La Joya, Puebla",80,100,4639.1625,3711.33,2024-06-04,24,0,2024-06-28,Casa,Venta,2,2,1,0,1.0,No,,La Joya,Puebla,Puebla,"La Joya, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-13dc2ea6d22d-d894-9bd66dd7-a899-4ef1
27,E1,371133.0,371133.0,20644,2024-10-02,CASA EN VENTA LA JOYA PUEBLA PUEBLA,115,120,3227.24347826087,3092.775,2024-05-13,45,1,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,La Joya,Puebla,Puebla,"La Joya, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-c365a1022f67-c36a-ec7b19ba-bed2-45d3
28,E1,372608.0,372608.0,20726,2024-10-02,"¡¡EXCELENTE OPORTUNIDAD DE INVERSIÒN!! HERMOSA CASA EN VENTA. EL CERRITO, PUEBLA PUEBLA",120,210,3105.0666666666666,1774.3238095238096,2023-09-29,270,8,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-db4398a375b1-c58f-ae00796d-b2d5-4e79
29,E1,372608.0,372608.0,20726,2024-10-02,VENTA DE CASA EN COLONIA CERRITOS EN PUEBLA PUEBLA,210,210,1774.3238095238096,1774.3238095238096,2023-10-23,245,8,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,El Cerrito,Puebla,Puebla,"El Cerrito, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-b12dab11c5cb-8657-f936ad91-b228-46a7
30,E1,373000.0,373000.0,20748,2024-10-02,VENTA DE DEPARTAMENTO EN LA CALLE 17 Poniente 301 Central de Abastos PUEBLA,60,60,6216.666666666667,6216.666666666667,2024-06-05,23,0,2024-06-28,Departamento,Venta,1,2,1,0,1.0,No,,Centro Historico,Puebla,Puebla,"Centro Histórico, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-f3967d52037-1d40-d39eb5c8-80fa-48a4
31,E1,376000.0,376000.0,20915,2024-10-02,VENTA DE CASA EN PUEBLA DE ZARAGOZA,131,210,2870.229007633588,1790.4761904761904,2024-06-28,0,0,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Granjas Puebla,Puebla,Puebla,"Granjas Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-20ddc298000f-1cac-926b3d87-b4e1-42c1
32,E1,379000.0,379000.0,21082,2024-10-02,VENTA DE DEPARTAMENTO EN LA CALLE DE LA PRIVADA 7526 FRACCIONAMIENTO SAN JOSE MAYORAZGO PUEBLA,55,55,6890.909090909091,6890.909090909091,2024-06-28,0,0,2024-06-28,Departamento,Venta,1,2,1,0,1.0,No,,San Jose Mayorazgo,Puebla,Puebla,"San José Mayorazgo, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-2cc01a776b9f-ba37-ff5d3c7b-9cab-5008
33,E1,382000.0,382000.0,21249,2024-10-02,HERMOSA CASA EN HEROES DE PUEBLA EN PUEBLA,150,150,2546.6666666666665,2546.6666666666665,2024-05-08,50,1,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-614babf31e31-ec96-3bbe29d-a477-4884
34,E1,382900.0,382900.0,21299,2024-10-02,Venta de linda y espaciosa casa en Puebla.,150,150,2552.6666666666665,2552.6666666666665,2024-05-15,43,1,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-8f9550f153b7-e533-cb740169-a9bd-2018
35,E1,382900.0,382900.0,21299,2024-10-02,VENTA DE HERMOSA CASA EN PUEBLA,150,150,2552.6666666666665,2552.6666666666665,2024-05-08,50,1,2024-06-28,Casa,Venta,2,3,2,0,2.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-e71f3ca56ee3-abbf-99acd73b-a223-4843
36,E1,383251.0,383251.0,21318,2024-10-02,"Casa en venta en Granjas Mayorazgo, Puebla",100,160,3832.51,2395.31875,2023-11-24,214,7,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,San Miguel Mayorazgo INFONAVIT,Puebla,Puebla,"San Miguel Mayorazgo INFONAVIT, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-d42ae7214474-4646-4f2f0658-8a58-4f70
37,E1,389084.0,389084.0,21643,2024-10-02,JLMR(EMB) CASA EN VENTA EN COLONIA 3 CERRITOS PUEBLA.,90,90,4323.155555555555,4323.155555555555,2024-06-28,0,0,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-58be401b5035-6ad0-838760a7-8593-46cb
38,E1,389410.0,389410.0,21661,2024-10-02,Casa en Diagonal 18 los Heroes Puebla,80,80,4867.625,4867.625,2024-06-21,7,0,2024-06-28,Casa,Venta,2,2,1,0,1.0,No,,Heroes de Puebla,Puebla,Puebla,"Héroes de Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-7344847e098f-150c-85e4e46a-b213-4f04
39,E1,390000.0,390000.0,21694,2024-10-02,VENTA  CASA RIO YAQUI JARDINES DE SAN MANUEL,200,270,1950.0,1444.4444444444443,2024-05-31,28,0,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-8a194bcc8f6e-c5f8-409b1e06-9fdf-4ded
40,E1,390000.0,390000.0,21694,2024-10-02,CASA EN VENTA EN JARDINES DE SAN MANUEL PUEBLA DE ZARAGOZA,200,270,1950.0,1444.4444444444443,2024-05-27,31,1,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-efdcab2dce1c-7e97-f02d1ba4-b13a-436c
41,E1,390000.0,390000.0,21694,2024-10-02,"EXCELENTE CASA EN VENTA, RIO YAQUI, JARDINES DE SAN MANUEL PUEBLA",200,270,1950.0,1444.4444444444443,2024-05-27,31,1,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-4dca48bd44ff-9321-6668a9a7-8e49-4110
42,E1,390000.0,390000.0,21694,2024-10-02,VENTA DE CASA EN PUEBLA DE ZARAGOZA COLONIA PLAZAS AMALUCAN,204,320,1911.764705882353,1218.75,2024-04-02,86,2,2024-06-28,Casa,Venta,2,4,1,0,1.0,No,,Plazas de Amalucan,Puebla,Puebla,"Plazas de Amalucan, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-d49963a10760-dd9a-95676223-875c-415d
43,E1,395100.0,395100.0,21977,2024-10-02,VENTA DE CASA EN COLONIA LOMA LINDA PUEBLA,90,100,4390.0,3951.0,2023-10-17,251,8,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Loma Linda,Puebla,Puebla,"Loma Linda, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-430e49bd91ae-f822-2a186803-898e-4bb9
44,E1,399000.0,399000.0,22194,2024-10-02,"CASA EN VENTA EN TRES CERRITOS, PUEBLA",100,140,3990.0,2850.0,2024-05-27,31,1,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Puebla,Puebla,Puebla,"Puebla, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-d5fe3c9798b1-9340-e07962a0-8641-4dfb
45,E1,400000.0,400000.0,22250,2024-10-02,VENTA DE CASA EN PUEBLA,150,200,2666.6666666666665,2000.0,2024-04-11,77,2,2024-06-28,Casa,Venta,2,3,1,0,1.0,No,,Jardines de San Manuel,Puebla,Puebla,"Jardines de San Manuel, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-9221a5cdcddf-5f20-29e2da96-9b45-4d40
