id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,ubicacion,url
2935,S1,4300000,4300000,239187,2024-10-04,Casa En Venta De Una Planta Cerca De Zavaleta Y Camino Real,164,164,26219.51219512195,26219.51219512195,2023-02-15,372,12,2024-02-22,Casa,Venta,2,3,4,0,4.0,No,,Fracc Villas de Zavaleta 2da Secc,,,"Fracc Villas de Zavaleta 2da Secc, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-779cfe413eb6-c1d5-e0fb51e3-88d5-32ec
2936,S1,4300000,4300000,239187,2024-10-04,"CASA EN VENTA FRACC ANTIGUA CEMENTERA, HERMANOS SERDÁN",120,223,35833.333333333336,19282.51121076233,2023-04-21,301,10,2024-02-22,Casa,Venta,2,4,1,0,1.0,No,,Fracc La Antigua Cementera,,,"Fracc La Antigua Cementera, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-9240b3a679ef-8108-33024565-992e-422a
2937,S1,4300000,4300000,239187,2024-10-04,RESIDENCIAL NOBEL zona Udlap,120,241,35833.333333333336,17842.323651452283,2023-04-21,301,10,2024-02-22,Casa,Venta,1,3,5,0,5.0,No,,Puebla Centro,,,"Puebla Centro, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-789e06f0c793-9c97-a956c33c-bcfa-3110
2938,S1,4300000,4300000,239187,2024-10-04,Venta de casa en Lomas del Valle,120,258,35833.333333333336,16666.666666666668,2023-06-07,255,8,2024-02-22,Casa,Venta,1,3,2,0,2.0,No,Fraccionamiento,Lomas del Valle,,,"Fraccionamiento Lomas del Valle, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-e25e703935d-fd49-24c5244e-aa30-42bb
2939,S1,4300000,4300000,239187,2024-10-04,Casa en venta en colonia Gabriel Pastor,183,280,23497.26775956284,15357.142857142857,2024-01-13,39,1,2024-02-22,Casa,Venta,1,4,1,0,1.0,No,,Chula Vista,,,"Chula Vista, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-e1a96b08e74b-1e82-97176bb1-9b4d-3ac5
2940,S1,4300000,4300000,239187,2024-10-04,Casa En Pre Venta En Parque Tlaxcala Lomas De Angelopolis,284,284,15140.845070422536,15140.845070422536,2023-10-11,131,4,2024-02-22,Casa,Venta,2,3,3,0,3.0,No,,Conjunto Habitacional Cemanti,,,"Conjunto Habitacional Cemanti, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-ba290c96879-c671-ad946d22-a5c5-39fb
2941,S1,4300000,4300000,239187,2024-10-04,"RESIDENCIA EN VENTA FRACC. ESTRELLA DEL SUR, PUEBLA, PUE.",200,300,21500.0,14333.333333333334,2023-11-04,108,3,2024-02-22,Casa,Venta,1,3,4,0,4.0,No,Fraccionamiento,Estrella del Sur,,,"Fraccionamiento Estrella del Sur, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-3a793b3e4955-ab7a-3e91323b-9c26-3441
2942,S1,4300000,4300000,239187,2024-10-04,Casa En Venta Estrellas Del Sur,300,300,14333.333333333334,14333.333333333334,2024-01-14,38,1,2024-02-22,Casa,Venta,2,3,3,0,3.0,No,,San Jose Vista Hermosa,,,"San José Vista Hermosa, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-530674a37fd9-1d1-57241c0c-8db4-3d86
2943,S1,4300000,4300000,239187,2024-10-04,SE VENDEN DEPARTAMENTOS EN PREVENTA SADRO ANGELOPOLIS 2 RECAMARAS,110,110,39090.90909090909,39090.90909090909,2023-04-20,302,10,2024-02-22,Departamento,Venta,2,2,2,0,2.0,No,,Tlaxcalancingo,,,"Tlaxcalancingo, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-1ed699e731a5-665e-dff396c-b262-31c9
2944,S1,4300000,4300000,239187,2024-10-04,"Venta casa en, Puebla, con uso de suelo comercial y habitacional",189,338,22751.32275132275,12721.89349112426,2023-10-21,121,4,2024-02-22,Casa,Venta,2,3,2,0,2.0,No,,El Tamborcito,,,"El Tamborcito, Puebla, Puebla",https://www.lamudi.com.mx//detalle/41032-73-49c03baa917a-ada-8b2ac42b-bcce-3b1b
