precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion
7894737,MXN,807 Lirios B05 Las Cumbres,109,109,20 feb 2024,Casa en Condominio,0,1,1,1,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-8d495b53a8c9-9b14-93084027-9548-3d2a,"¡Viva el lujo en Lirios! Los cerros 5 de Diciembre son ahora uno de los lugares más buscados de Vallarta. Este espacioso condominio ofrece impresionantes vistas de la bahía. El dormitorio principal cuenta con una cómoda sala de estar junto con hermosos armarios ventilados de madera de parota tropical. La sala de estar está llena de luz natural y el gran balcón ofrece espectaculares vistas del atardecer con vista a la piscina de 88 grados. Si busca más espacio, el condominio contiguo también está disponible, lo que le permite combinarlos en una lujosa casa de varios dormitorios. El complejo también cuenta con una suite para invitados, que brinda a sus invitados un espacio cómodo y privado para quedarse. Encontrará acabados de alta gama y detalles de calidad en todo el condominio, lo que lo convierte en la casa de sus sueños perfecta que siempre ha deseado. EasyBroker ID: EB-PN5234"
10964912,MXN,130 Constitucion 506 Rincon De Almas 506,130,130,21 feb 2024,Casa en Condominio,0,2,2,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-ff89fd04616-57ce-f9519a82-8a71-356d,"¡Esta espaciosa unidad de esquina de dos dormitorios te está esperando! Rincón de Almas es un desarrollo verdaderamente único diseñado por dos de los arquitectos más experimentados y creativos de México: Derek Dellekamp y Frida Escobed (siendo esta última la primera mujer en diseñar un ala en el Met en Nueva York). Su distintivo diseño de celosía permite que la luz del sol y la brisa se crucen mientras mantiene la privacidad de todas las unidades. Un oasis en la azotea cuenta con una gran piscina infinita, un amplio gimnasio y áreas de descanso con incomparables vistas de 360 grados del centro de Puerto Vallarta. Ya sea que esté buscando residir en esta idílica suite o utilizarla como propiedad rentable en uno de los edificios más populares de la ciudad, está a minutos de excelentes restaurantes, tiendas y entretenimiento, y a solo unas cuadras de la playa. EasyBroker ID: EB-PN9293"
12237401,MXN,353 Amapas 21 Amapas 353 21,155,155,28 nov 2023,Casa en Condominio,0,2,1,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-5bb48d9d2128-9397-e33b3f90-a76c-3cbf,"Esta unidad decorada profesionalmente es la última propiedad que necesita ver para tomar una decisión de compra. Amapas 353 es un edificio muy conocido y diseñado por uno de los constructores más reconocidos de Puerto Vallarta. Los acabados de alta calidad hacen que esta unidad sea perfecta para el inversionista inteligente que busca una propiedad de inversión sólida, o para alguien que busca el condominio perfecto para llamar hogar. Amapas 353 ofrece comodidades de lujo como una piscina en la azotea con inmejorables vistas al mar, una cocina al aire libre perfecta para reuniones en la azotea, un gimnasio, seguridad y una corta caminata a la playa y al centro de Puerto Vallarta. Este edificio que admite mascotas significa que Fido también puede venir. Las características adicionales del condominio incluyen 2 hornos, 3 refrigeradores, una lavadora/secadora apilable HE de tamaño completo y mucho más. ¡Concierte una cita para verlo hoy!. EasyBroker ID: EB-OU1581"
10333333,MXN,91 Calle Yugoslavia Casa Astra,330,330,21 feb 2024,Casa,0,3,3,1,No,"Diaz Ordaz, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-45052764a371-a6f2-ce991863-8e8c-3841,"¡Bienvenido a esta encantadora casa de 2 niveles ubicada en el vecindario Díaz Ordaz de Puerto Vallarta! Con una fusión de confort moderno y encanto mexicano, esta residencia ofrece un ambiente acogedor. Entra en una amplia sala de estar que se convierte a la perfección en la cocina de un chef, adornada con elegantes electrodomésticos y un amplio espacio de almacenamiento.Con tres dormitorios, la tranquilidad y la privacidad están aseguradas. La suite principal atrae con su amplio diseño. Luminosa y espaciosa, el diseño de la casa garantiza que la luz natural adorne cada rincón.Más allá de los interiores, descubra el epítome de la vida al aire libre. El primer nivel presenta un encantador patio, ideal para cenar al aire libre o descansar junto a la espectacular piscina, un santuario perfecto para la relajación y el entretenimiento. El segundo nivel también cuenta con un área de entretenimiento al aire libre. EasyBroker ID: EB-PN9454"
9300000,MXN,117 P. De Las Almejas 01 KARLA,133,133,23 feb 2024,Casa en Condominio,0,2,2,0,No,"Conchas Chinas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-e7020463f708-8eca-2f4bc9e4-b0c6-3291,"Este condominio de diseno mexicano se siente como una pequena casa, gracias a su terraza, jardín, piscina privada y 2 entradas. Situado en el esplendido barrio de Conchas Chinas rodeado de naturaleza, cerca de la playa, apartado de la Zona Romantica, pero de rapido acceso a los buenos restaurantes y a todas las actividades de la zona. Una visita le encantara. Esta propiedad es llave en mano, 3 artículos excluidos. EasyBroker ID: EB-PO5190"
357500,USD,Mayamar 5-E,90,90,28 nov 2023,Casa en Condominio,0,2,2,0,No,"Amapas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-5e3ae5b1072-bada-46b31a57-a450-383e,"MAYMAR, un desarrollo de dos torres en el exclusivo barrio de las laderas de Amapas, ofrece calidad y valor incomparables. Cada una de las 44 unidades cuenta con acabados completamente de lujo, con comodidades del edificio que incluyen impresionantes piscinas infinitas en la azotea, ascensores, seguridad las 24 horas y un gimnasio y spa separados entre abundantes jardines y una piscina adicional. Estacionamiento escriturado incluido. A minutos de la Zona Romántica y la popular Playa de Los Muertos, la majestuosidad de MAYMAR incluye impresionantes vistas al mar desde cada unidad. EasyBroker ID: EB-NG9065"
6154378,MXN,"1403 Bolivia 201 The Colonial JA, Puerto Vallarta",0,80,07/25/2024,Departamento,0,2,2,0,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-b9bbaf8dc687-2624-190c3ca-b08b-7db3,"Discover luxury living in this meticulously designed 80.34 m² (864.45 sq ft) condo, nestled in 5 de Diciembre, the emerging neighborhood of choice. Offering exceptional value and comfort, this partly furnished unit features 2 bedrooms, 2 full bathrooms, and was built in 2021 with a contemporary design and stunning city and ocean views. Enjoy community amenities such as a pool, gym, and 24-hour security in this pet-friendly 27-unit development. With wheelchair-friendly access and essential services included, this condo presents an enticing opportunity for investors or those seeking a modern home in a vibrant locale. Step into modern elegance—schedule your viewing today and seize this ideal investment or living opportunity!. EasyBroker ID: EB-QS4254"
6548163,MXN,117 PASEO DE LAS ALMEJAS 4A CONDO KARLA 4,119,119,28 nov 2023,Casa en Condominio,0,2,2,0,No,"Conchas Chinas, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-50de8fe50723-df1c-fb693b43-891a-3c61,"COCINA Y BAÑOS REMODELADOS, nuevas unidades de aire acondicionado, armarios nuevos, pisos renovados, nueva iluminación y ventiladores de techo. Además, encontrará impresionantes vistas a la Bahía de Banderas en la famosa costa sur de Puerto Vallarta en Conchas Chinas; El condominio se encuentra a poca distancia de la playa y a solo 6 minutos en automóvil de la Zona Romántica y el centro de PV. EasyBroker ID: EB-OH8516"
8075000,MXN,SN PASEO DE LA MARINA 4 MARINA GOLF,131,131,6 dic 2023,Casa en Condominio,0,2,2,0,No,"Marina Vallarta, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-36e5bb55813f-1851-7743be6b-b4a6-3c05,"EXCELENTE UBICACIÓN CON ACCESO POR EL MALECÓN DE LA MARINA Y POR LA CALLE, LOCALIZADO EN PLANTA BAJA, RECIÉN RE MODELADO COMO NUEVO Y COMPLETAMENTE AMUEBLADO CON UNA AGRADABLE TERRAZA Y JARDÍNPrivate Remarks:. EasyBroker ID: EB-OZ4363"
7350877,MXN,1128 ECUADOR 1 CONDO BELEM,200,200,28 nov 2023,Casa en Condominio,0,3,3,0,No,"5 de Diciembre, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-c891a3050f32-12d4-e6516479-a5ac-39bb,"CONDOMINIO BASTANTE AMPLIO, CON BALCON Y VISTA PARCIAL AL MAR, PATIO DE LAVADO. EasyBroker ID: EB-OH8469"
1666667,MXN,200 PASEO DE LAS PALMAS 4-F LA CIMA,57,57,28 nov 2023,Casa en Condominio,0,2,1,0,No,"Lopez Mateos, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-cc180b25ff3c-52e5-d7435e97-b960-35a1,"CONDOMINIO RECIEN REMODELADO, AMUEBLADO, 2 HABITACIONES, 1 BAÑO COMPLETO, PATIO DE SERVICIO, 2 AIRES ACONDICIONADOS, CAJON DE ESTACIONAMIENTO. EasyBroker ID: EB-NG8512"
9946455,MXN,109 OFRENDA,0,0,07/25/2024,Departamento,0,1,2,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3f376d5ee30a-2176-190c8be-9f44-7218,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QS8815"
7147730,MXN,104 OFRENDA,0,0,07/25/2024,Departamento,0,0,1,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-fd5891f76b11-19be-190c8be-84d6-7f30,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QS8769"
11945662,MXN,301A OFRENDA,0,0,19 abr 2024,Departamento,0,2,2,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-b072d6a6627f-94c-18ef452-b981-7836,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0528"
5728577,MXN,304A OFRENDA,0,0,19 abr 2024,Departamento,0,0,1,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-6eec8520cc3e-3c8-18ef452-a18c-7b4d,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0517"
10335974,MXN,204 OFRENDA,0,0,19 abr 2024,Departamento,0,1,2,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-1d8333fdf23a-fe2e-18ef451-b07c-7445,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0506"
7831897,MXN,501B OFRENDA,0,0,19 abr 2024,Departamento,0,0,1,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-b17764db7471-f8ba-18ef451-8d74-78dc,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0535"
9410535,MXN,304C OFRENDA,0,0,19 abr 2024,Departamento,0,2,2,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-a9964068557-f345-18ef451-a1f4-71cf,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0531"
10579376,MXN,207 OFRENDA,0,0,19 abr 2024,Departamento,0,1,2,0,No,"Emiliano Zapata, Puerto Vallarta, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3a019344c66f-ee16-18ef451-b191-71a5,"Desde el aeropuerto diríjase hacia el sur por Av. Francisco Medina, luego gire a la izquierda en Aquiles Serdán. Gire otra vez a la izquierda en el primer cruce hacia Calle Constitución. Gire otra vez a la izquierda en el primer cruce hacia 5 de Febrero.OFRECEMOS HASTA UN 20% DE DESCUENTO!!!Ofrenda presenta una excelente oportunidad de inversión en bienes raíces debido a su ubicación central, diseño mexicano moderno y la estimada reputación de Grupo Gova. El concepto arquitectónico está inspirado en el rico patrimonio de México, utilizando hermosos materiales locales y un estilo de construcción que irradia sorpresa en cada detalle. La propiedad cuenta con acabados en bruto, materiales naturales, excelente ventilación y abundante luz natural, creando un espacio habitable armonioso. Las características clave incluyen grandes terrazas, unidades de almacenamiento en el sótano, estacionamiento subterráneo, un gimnasio totalmente equipado para los entusiastas del fitness y una terraza amueblada a la perfección. Lo más destacado de la propiedad es la piscina semiolímpica con borde infinito, junto con cuatro jacuzzis estilo aguas termales para relajarse. EasyBroker ID: EB-QA0507"
