id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,dias_transcurridos,meses_transcurridos,fecha_mas_actual,tipo,Status,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,tipo_lugar,Colonia,Municipio,Estado,Colonia_Estandarizada,codigo_postal,ubicacion,url,descripcion,direccion_completa,Latitud,Longitud
1102,D2,1400000.0,1400000.0,70168,2024-11-05,"CASA EN VENTA, EL VENADO, PACHUCA",150,60,9333.333333333334,23333.33333333333,2024-02-09,182,6,2024-08-11,Casa,Venta,1,2,1,0,1.0,No,,el venado,mineral de la reforma,hidalgo,el venado,42185.0,"El Venado, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-7da32ac20aca-2028-1919573-a304-7081,"¡Claro! Aquí te dejo una descripción atractiva para la venta de la casa:""¡Oportunidad única! Hermosa casa de un nivel en privada segura con vigilancia 24/7. Con un terreno de 150m2 y 60m2 de construcción, esta propiedad ofrece:- Estacionamiento para dos autos- Sala/comedor amplio y luminoso- Cocina con tarja para mayor comodidad- Dos recámaras con clósets para tu comodidad- Baño completo con todos los servicios- Patio de servicio techado para el área de lavado- Tanque estacionario y persianas para mayor comodidadUbicada a solo 10 minutos de zonas importantes como hospitales, centros comerciales, bodega Aurrera y más. ¡No te pierdas esta oportunidad de vivir en un lugar seguro y conveniente! ¡Contáctanos para agendar una visita y hacer de este lugar tu hogar!","el venado, mineral de la reforma, hidalgo, México",20.0644128,-98.7584292
1103,C3,2300000.0,2300000.0,115277,2024-11-05,"VENTA CASA NUEVA EXCELENTES ACABADOS y ESPACIOS AMPLIOS $2,300,000",150,254,15333.333333333334,9055.11811023622,2023-06-06,430,14,2024-08-11,Casa,Venta,1,3,2,1,2.5,No,,los tulipanes i,mineral de la reforma,hidalgo,tulipanes ii,42185.0,"Los Tulipanes I, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-67deabe97565-a938-464d2c2a-8969-4c7e,"Vendo casa NUEVA ubicada en El Venado, Mineral de la Reforma. Cuenta con 12 mts de FRENTE!  Son 3 habitaciones, la principal con baño de 2 regaderas. Habitaciones JUNIOR comparten baño completo de 2 regaderas también. ESPACIOS ENORMES y de excelente ACABADO! Cocina integral. Los baños forrados con gran estilo y gusto!Jardin Interior con domo.La escalera con detalles de herreria MODERNA. Reja de protección .Se aceptan créditos. Contactáme para una cita!","tulipanes ii, mineral de la reforma, hidalgo, México",20.060886,-98.7692176
1104,,2500000.0,2500000.0,125301,2024-11-05,Casa en Venta en Forjadores,150,230,16666.666666666668,10869.565217391304,2024-06-25,47,1,2024-08-11,Casa,Venta,1,3,2,1,2.5,No,,forjadores de pachuca,mineral de la reforma,hidalgo,forjadores de pachuca,42185.0,"Forjadores de Pachuca, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-811e66558b14-b3d0-9e58a18b-ad8e-48ba,"Casa en Venta en ForjadoresExcelente zona para vivir a un costado de tulipanes, muy cerca podras encontrar zonas comerciales.Características:1er nivel• ½ Baño• Cocina• Sala• Comedor• 1 estudio o recámara en planta baja• Área de lavado• Bodega• Cochera2ndo nivel• 3 recamaras• 1 sala de Tv• 2 Baños completos150 m2 de terreno230 m2 de construcción$2,500,000No dejes pasar está oportunidad y agenda una cita al Ver teléfono Whatsapp / WhatsApp","forjadores de pachuca, mineral de la reforma, hidalgo, México",20.055,-98.76333
1105,C2,2195000.0,2195000.0,110014,2024-11-05,"Se vende casa nueva en fracc Rinconadas del Venado II  en Pachuca, Hidalgo",148,172,14831.081081081082,12761.627906976744,2022-11-23,624,20,2024-08-11,Casa,Venta,1,3,2,0,2.0,No,,san jose,mineral de la reforma,hidalgo,san jose,42185.0,"San José, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-e61e00faaab1-a834-b176a50d-8c74-325c,"Ref: NEX-146987Estrene casa, en una excelente ubicación.La casa se encuentra ubicada en el Fraccionamiento ""RINCONADAS DEL VENADO"" , con calle de concreto, instalaciones ocultas, en una cerrada que contará con reja de acceso.La casa se encuentra ubicada junto al área de esparcimiento.cerca de comercios, escuelasLa casa esta edificada en un predio de 8.15 mts de frente por 21.22 mts de fondo.PLANTA BAJA: vestíbulo de acceso, cuarto de estudio el cual está pensado para que a futuro funja como una recámara, baño social con regadera, sala, comedor, cocina, área de lavado, patio exterior trasero y estacionamiento para dos autos.Planta alta: Recámara principal con baño y closet y balcón, dos recámas con closet que comparten baño, una de ellas con balcón, escaleras con pérgolas.la casa tiene una excelente iluminación natural y ventilación.Cuenta con ventanas de aluminio, y vitro pisos.barandales a escoger.nNEXIMOINMOBILIARIADIGITAL","san jose, mineral de la reforma, hidalgo, México",20.0689729,-98.7160388
1106,A2,3525000.0,3525000.0,176674,2024-11-05,Casa nueva en venta Mineral de la Reforma Hidalgo,148,285,23817.567567567567,12368.421052631578,2024-02-09,182,6,2024-08-11,Casa,Venta,1,3,3,1,3.5,No,,las palomas,mineral de la reforma,hidalgo,las palomas,42186.0,"Las Palomas, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-e91b12dfde97-5d7e-1919b81-9547-7e19,"Casa en venta nueva en privada con seguridad 24/7 y acceso controlado, bien ubicada cerca Plaza Q y Plaza Universidad  el desarrollo cuenta con cancha de fútbol independiente, juegos infantiles, áreas verdes y recreativas, servicios ocultos, área de asadores, escalinata deportiva y zona comercial.  Construida en 3 niveles: Planta baja: Sala, comedor, cocina equipada con área de alacena, patio de servicio, ½ baño, jardín interior, cochera 2 autos. Planta alta: Recámara principal con baño y vestidor, 1 recámara con vestidor y baño y sala de tv. Tercer nivel: Recámara con baño, Roof Garden, área de lavado y tendido. 148.45 m2 de terreno y 285.14 m2 de construcción.","las palomas, mineral de la reforma, hidalgo, México",20.0840367,-98.7188176
1107,,4000000.0,4000000.0,200481,2024-11-05,Casa nueva en venta Mineral de la Reforma Hidalgo,148,311,27027.027027027027,12861.736334405145,2024-02-09,182,6,2024-08-11,Casa,Venta,1,4,3,1,3.5,No,,las palomas,mineral de la reforma,hidalgo,las palomas,42186.0,"Las Palomas, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-e3ddfb550ef7-8553-1919b73-9547-7e19,"Casa en venta nueva en privada con seguridad 24/7 y acceso controlado, bien ubicada cerca Plaza Q y Plaza Universidad  el desarrollo cuenta con cancha de fútbol independiente, juegos infantiles, áreas verdes y recreativas, servicios ocultos, área de asadores, escalinata deportiva y zona comercial.  Construida en 3 niveles: Sótano: Salón de juegos, gimnasio, estudio/recámara, bodega y cochera 2 autos.  Planta baja: Sala, comedor, cocina equipada con área de maniobras, área de servicio, ½ baño, bar. Planta alta: Recámara principal con baño y vestidor, 1 recámara con vestidor y baño y sala de tv. Roof Garden. 148.45 m2 de terreno y 311.77 m2 de construcción.","las palomas, mineral de la reforma, hidalgo, México",20.0840367,-98.7188176
1108,C1,1900000.0,1900000.0,95229,2024-11-05,CASA EN VENTA EN PRIVADA PUERTA DE HIERRO,147,120,12925.170068027212,15833.333333333334,2023-04-20,477,15,2024-08-11,Casa En Fraccionamiento,Venta,1,3,3,0,3.0,No,,san jose,mineral de la reforma,hidalgo,san jose,42185.0,"San José, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-b48604170320-9502-175092e3-b653-3d1e,"Casa en venta en el residencial privada puerta de hierro,  cuenta con 120m2 de terreno y 147m2 de construcción distribuidos en: planta baja, sala, comedor, medio baño, cocineta, patio de servicio amplio y techado con sistema abatible. Planta alta: 3 recámaras con clóset recámara principal con baño privado, 2 recámaras con baño compartido, cuenta con garage para 2 autos. Se encuentra ubicada en  privada con seguridad y acceso controlado. El residencial cuenta con áreas verdes con juegos infantiles, excelente ubicación cerca de las principales vías de comunicación y zonas comerciales de pachuca. ¡agenda una cita! ¡ya no tienes que adaptarte a un hogar, nosotros nos adaptamos a ti!","san jose, mineral de la reforma, hidalgo, México",20.0689729,-98.7160388
1109,B2,2900000.0,2900000.0,145349,2024-11-05,Casa en Fraccionamiento Los Cedros en Pachuca,146,157,19863.013698630137,18471.33757961784,2024-05-14,88,2,2024-08-11,Casa,Venta,1,3,2,0,2.0,No,,rinconadas de san francisco,mineral de la reforma,hidalgo,rinconada de san francisco,42185.0,"Rinconadas de San Francisco, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-d1f6788de12d-3186-18f7663-aba3-7707,"Casa en Venta en Fraccionamiento Los Cedros en Mineral de la Reforma, Hgo.La casa esta en una privada ubicada sobre el Blvd. Nuevo Hidalgo.Consta en el primer nivel de estacionamiento para 2 autos, Sala, comedor, cocina equipada, baño de visitas, area de servicio y patio.En el segundo nivel recamara principal con baño y dos recamaras junior con baño compartido.La casa es estilo minimalista con aluminio, cristal templado y puerta y closets color chocolate.Cuenta con cisterna de 8,000 L.Agenda tu cita, sera un placer atenderte.","rinconada de san francisco, mineral de la reforma, hidalgo, México",20.0673435,-98.7675184
1110,B3,3055500.0,3055500.0,153143,2024-11-05,Diseño Arquitectónico y Acabados de Primer Nivel Casa de 3 Recámaras La Mejor Ubicación,144,207,21218.75,14760.869565217392,2024-05-09,92,3,2024-08-11,Casa,Venta,1,3,2,0,2.0,No,,santiago jaltepec,mineral de la reforma,hidalgo,santiago jaltepec,42182.0,"Santiago Jaltepec, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-2f500aa2c140-e49c-18f5de3-904c-739c,"Invierte en un proyecto de gran valor y plusvalía, residencias con grandes diseños para que tu familia disfrute al máximo. Desarrollo integral con amenidades que integran una comunidad en Armonía, Control de acceso y seguridad.                    Nivel 1Cocina EquipadaSalaComedor1/2 BañoCuarto de ServicioPasillo lateralEstacionamientoNivel 2Recámara principal con walking closet y baño completo2 Recámaras secundarias1 Baño compartidoVen a conocer tu nuevo estilo de vida!","santiago jaltepec, mineral de la reforma, hidalgo, México",20.1120918,-98.7147912
1111,B3,3099150.0,3099150.0,155330,2024-11-05,Diseño Arquitectónico y Acabados de Primer Nivel Casa de 3 Recámaras La Mejor Ubicación,144,207,21521.875,14971.739130434782,2024-05-09,92,3,2024-08-11,Casa,Venta,1,3,2,0,2.0,No,,santiago jaltepec,mineral de la reforma,hidalgo,santiago jaltepec,42182.0,"Santiago Jaltepec, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-c43ba6a467ce-615c-18f5de8-97b1-70b0,"Invierte en un proyecto de gran valor y plusvalía, residencias con grandes diseños para que tu familia disfrute al máximo. Desarrollo integral con amenidades que integran una comunidad en Armonía, Control de acceso y seguridad.                    Nivel 1Cocina EquipadaSalaComedor1/2 BañoCuarto de ServicioPasillo lateralEstacionamientoNivel 2Recámara principal con walking closet y baño completo2 Recámaras secundarias1 Baño compartidoVen a conocer tu nuevo estilo de vida!","santiago jaltepec, mineral de la reforma, hidalgo, México",20.1120918,-98.7147912
1112,D3,1550000.0,1550000.0,77686,2024-11-05,👮‍♀️Fraccionamiento cerrado con vigilancia y diversas amenidades para ti y tu familia.,140,105,11071.42857142857,14761.90476190476,2024-02-09,182,6,2024-08-11,Casa,Venta,1,3,2,1,2.5,No,,el paraiso,mineral de la reforma,hidalgo,el paraiso,42186.0,"El Paraíso, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-6a9640d58602-dcdc-19152c7-bba4-79e3,"🏠 Santa Fe, Pachuca.MXN $1,550,000- De 10 a 15 minutos de Plaza Q, Walmart, Gran Patio y Galerías Pachuca.➡️PLANTA BAJA•Sala.•Cocina.•Comedor.•Habitación o Estudio.•½ Baño.➡️PLANTA ALTA•2 habitaciones con baño completo compartido.•Habitación principal con baño completo y vestidor.➡️AMENIDADES:•Cancha de futbol.•Juegos infantiles.•Bancas y jardineras.ACEPTAMOS:• Créditos.• Contados.","el paraiso, mineral de la reforma, hidalgo, México",20.06167,-98.74167
1113,D3,1749000.0,1749000.0,87660,2024-11-05,"Elegante casa en Carboneras, junto a la Universidad de Hidalgo y a 20 minutos del centro de Pachuca",140,105,12492.857142857143,16657.14285714286,2024-02-19,173,5,2024-08-11,Casa,Venta,1,3,2,1,2.5,No,,carboneras,mineral de la reforma,hidalgo,carboneras,42183.0,"Carboneras, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-e806695a0430-a338-2d51effa-a325-441f,"PLANTA 1:•	Sala.•	Comedor.•	Cocina con cocina integral.•	Traspatio.•	Estudio.•	Medio baño.•	Cochera para 2 Autos.  PLANTA 2. •	Recamara principal con vestidor y baño completo.•	2 recámaras más que comparten otro baño completo.AMENIDADES:•	Clósets en las recamaras y puertas de carpintería.•	Ventanas de aluminio de 2 pulgadas con vidrios de filtrasol de 6 mms. Pastas en todas las paredes y plafones.•	Pisos y azulejos Interceramic.•	Protecciones frontales en ventanas y puerta de entrada.•	Cerrada al frente con 2 zaguanes.•	Boiler automático para 2 servicios.•	Lavadero, preparaciones para lavadora.•	Gas estacionario de 180 litros y línea de llenado.•	Medidores de agua y de luz.•	Doble tinaco de agua de 1100 lts. Cada uno.•	Impermeabilizante de carpeta en Azotea.•	Azulejos en baños. •	Muebles de baño modernos y canceles en los baños. •	Luz Led.•	Barandal en escalera. •	Barda en patio posterior de la altura de la casa. •	Patio frontal de cocheras con loseta.•	Escalera marina para subir a azotea..","carboneras, mineral de la reforma, hidalgo, México",20.0896746,-98.7113691
1114,D1,1199000.0,1199000.0,60094,2024-11-05,"Casa en venta, Fraccionamiento Los Tuzos, Mineral de la Reforma, Hidalgo",139,139,8625.899280575539,8625.899280575539,2024-02-24,168,5,2024-08-11,Casa,Venta,1,4,2,0,2.0,No,,los tuzos,mineral de la reforma,hidalgo,los tuzos,42185.0,"Los Tuzos, Mineral de La Reforma, Hidalgo",https://www.lamudi.com.mx/detalle/41032-73-1f974e188242-b73f-fe42dbc5-be0e-31d7,"Ref: NEX-190768Casa en venta ubicada en Los Tuzos, Mineral de la Reforma, Hidalgo. La propiedad cuenta con 4 ecámaras y 2 baños completos. También cuenta con 1 lugar de estacionamiento y área de lavandería.Con una construcción de 139.65 m2, esta casa se encuentra en un conjunto cerrada para mayor seguridad de los residentes.También, se encuentra cerca de varias zonas de interés, entre las cuales destacan los centros comerciales Xochitlán y Plaza Universidad, donde encontrarás una amplia variedad de tiendas, restaurantes y opciones de entretenimiento para toda la familia. Asimismo, el Parque Revolución se encuentra a pocos minutos de distancia, ideal para disfrutar de actividades al aire libre y momentos de tranquilidad en la naturaleza.Las principales vías de acceso a esta zona incluyen la Avenida Revolución y la Carretera Pachuca-Sahagún, lo que facilita la movilidad hacia diferentes puntos de la ciudad. Además, la Línea 2 del Tuzobús cuenta con una estación cercana, brindando opciones de transporte público eficientes y accesibles.Contáctanos para más información y agenda una visita.NID 12147053490nNEXIMOINMOBILIARIADIGITAL","los tuzos, mineral de la reforma, hidalgo, México",20.0524562,-98.7567638
