id,categoria,precio,precio_mxn,precio_usd,fecha_conversion,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,tiempo_de_publicacion,meses_transcurridos,meses_transcurridos_fecha,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,ubicacion,url,descripcion,fecha_estandarizada
11,B3,3200000,3200000,177999.86,2024-09-19,Casa - Tulancingo de Bravo,200,600,16000.0,5333.333333333333,2023-10-25,6,2024-04-30,Casa,Venta,0,3,2,0,2.0,No,San Juan,0,"San Juan, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-ce47f616dd68-627e-e71d1c4a-a33f-3d24,"CASA EN DOS NIVELES.  SE VENDE EN OBRA BLANCA. PLANTA BAJA: ESTANCIA, COMEDOR, COCINA, RECAMARA, MEDIO BAÑO, PATIO DE SERVICIO, ESTACIONAMIENTO. PLANTA ALTA: TRES RECAMARAS, DOS BAÑOS.EL PRECIO ES MAS GASTOS DE ESCRITURACIÓN.HORARIO DE ATENCIÓN DE LUNES A VIERNES DE 9:00 AM A 5:30 PM.   SABADO DE 9.:00AM  A 4:00PM.  DOMINGO DE 10.00 A 2.00PM.EL HORARIO DE ATENCIÓN ES CONSIDERANDO PREVIA CITA.NUM DE CONTACTO PARA AGENDAR.  Ver teléfono Whatsapp NUM DE CONTACTO Y CORREO ELECTRONICO PARA ACLARACIONES Y DUDAS: WhatsApp,  ContactarNUM. DE REGISTRO ANTE PROFECO:   TRAMITEAVISO DE PRIVASIDAD",2023-10-25
12,B3,3130000,3130000,174106.11,2024-09-19,"CASA ADJ., Nicolas Copérnico  San Francisco Huatengo I, 43647 Tulancingo de Bravo, Hidalgo.",200,241,15650.0,12987.551867219918,2023-10-14,6,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Tulancingo de Bravo,0,"Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-29f30f8fd31a-ce4a-3d18d030-bebb-4453,"NO SE ACEPTAN CREDITOS, NO SE ACEPTAN CREDITOS, NO SE ACEPTAN CREDITOSPROPIEDAD DE RECUPERACION BANCARIASOMOS UNA EMPRESA ESPECIALIZADA EN INMUEBLES EN RECUPERACIONES BANCARIAS, DONDE TE MOSTRAMOS TODA LA INFORMACION SOBRE EL INMUEBLE ANTES DE FIRMAR ALGUN DOCUMENTOCONTAMOS CON UNA GRAN CANTIDAD DE PROPUESTAS PARA BRINDARTE UNA GRAN OPCION DE INVERTIR.ACCESO AL EXPEDIENTE, FIRMA DE CESION EN 30 DIAS APROXIMADAMENTE EXPERIENCIA Y GARANTIACAMBIO DE COSTO SIN PREVIO AVISOCONTACTAME PARA MAYOR INFORMACION VIA TELEFONICA O WHATSAPPVer teléfono Whatsapp",2023-10-14
13,,3000000,3000000,166874.87,2024-09-19,"Casa en Privada, Tulancingo de Bravo, Residencial Riva Palacio",200,170,15000.0,17647.058823529413,2023-12-15,4,2024-04-30,Casa,Venta,0,2,3,0,3.0,No,La Escondida,0,"La Escondida, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-50049742f4f-c74f-e43909c1-bfe6-4285,"Casa Residencial en Privada Riva Palacio, en Col. La Escondida. La colonia ""La Escondida"", se encuentra en la zona centro de la Ciudad de Tulancingo Hidalgo, a escasos 5 minutos del primer cuadro de la ciudad, ubicada en una zona tranquila y segura.La colonia cuenta con escuelas públicas y privadas, muy cerca del Colegio Pedro de Gante, cerca del parque infantil “el Caracol”, iglesia, a 8 minutos del centro Comercial “Plaza Patio Tulancingo”, donde podrá encontrar el supermercado, cine, office depot, Coppel, peter pizza, Sams, Vips, etc….La casa 1 nivel cuenta con: Sala.Comedor.Cocina.1 medio baño. 2 recámaras grandes con vestidor.2 baños completos.Garaje para 1 auto.Cuarto de lavado. Amenidades:Tanque estacionario. Cisterna de 10,000 litros. Zaguán automático. Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa citaMayores informes y citas: Ver teléfono Whatsapp // WhatsApp // WhatsApp // WhatsApp""HAY UN LUGAR ESPERANDO SER TU HOGAR""",2023-12-15
14,B2,2900000,2900000,161312.37,2024-09-19,"Casa de 3 recámaras en Privada Riva Palacio, La Morena Tulancingo Hgo",120,150,24166.666666666668,19333.33333333333,2023-10-31,6,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Unidad Habitacional La Morena,0,"Unidad Habitacional La Morena, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-bfb49856282a-e531-99e14565-8dd0-47ce,"Privada ""Riva Palacio"" pertenece a Col. La Morena, zona con excelente plusvalía se ubica a solo 5 min. del centro de Tulancingo, central de autobuses y a 3 min. de la central de abastos. Tiene acceso a la carretera Tulancingo-Pachuca. En la zona encontrarás todos los servicios a tu alcance para las necesidades básicas de tu hogar, tiendas locales, tiendas de auto-servicio, panaderías, restaurantes, lavanderías, Oxxo y a 5 min. de bodega Aurrera.La casa de 2 niveles cuenta con:Sala.Comedor.Cocina integral equipada.Alacena.1 medio baño.1 recámara principal con vestidor, terraza y 1 baño completo.2 recámaras con clóset.1 baño compartido.Patio de servicio.Estacionamiento para 2 autos.Cisterna.Calentador solar.Tanque estacionario.Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa cita""HAY UN LUGAR ESPERANDO SER TU HOGAR""",2023-10-31
15,B2,2900000,2900000,161312.37,2024-09-19,"Una casa perfectamente diseñada en la mejor ubicación de Tulancingo, La Morena",120,154,24166.666666666668,18831.16883116883,2023-11-16,5,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Conjunto Habitacional Los Mesones,0,"Conjunto Habitacional Los Mesones, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-f1d9f7d3a1ab-c9e6-ef7f900e-b973-4d71,"¡Bienvenido al hogar de tus sueños en la prestigiosa zona de La Morena! Esta casa única de dos niveles se encuentra una ubicación privilegiada que ofrece comodidades excepcionales y en Privada acceso automatizado para tu tranquilidad. Imagina vivir en una de las áreas de mayor plusvalía de la Ciudad, rodeado de todo lo que necesitas. Esta casa está estratégicamente ubicada cerca de escuelas, hospitales, restaurantes, zonas comerciales y el encantador Centro Histórico de la Ciudad, ""La Floresta"". Además, su proximidad a vías rápidas y la salida hacia destinos clave como CDMX, Pachuca, Huasca y Tuxpan facilitan tu movilidad. La distribución cuidadosamente planificada de esta casa garantiza un estilo de vida cómodo y funcional. En la planta baja, te recibirá un garaje cerrado para dos autos, seguido de un vestíbulo que da paso a una sala luminosa y un comedor. El baño de visitas añade un toque de conveniencia, mientras que la cocina, equipada con una amplia alacena, te invita a deleitar tus sentidos. Disfruta del aire fresco en el patio de servicio y el hermoso jardín que complementa la casa. Sube al segundo nivel, donde un vestíbulo te guía hacia dos recámaras secundarias, compartiendo un baño completo. La recámara principal, un verdadero refugio privado, cuenta con terraza, un vestidor y baño completo para tu comodidad y privacidad. Esta casa viene equipada con todo lo que necesitas para vivir de manera práctica y lujosa. Disfruta de la tranquilidad que brinda la cisterna, la funcionalidad de la cocina integral, la conveniencia de una amplia alacena y el confort del calentador de paso para tres servicios. Los clósets en todas las recámaras ofrecen un amplio espacio de almacenamiento, mientras que el doble lavabo en la recámara principal agrega un toque de elegancia. Los canceles en los baños de la planta alta, el tinaco y el tanque estacionario son solo algunas de las características que hacen de esta casa un hogar completo. No dejes pasar la oportunidad de ser dueño de esta residencia única en su clase. ¡Contáctanos ahora para programar una visita y descubrir cómo esta casa puede convertirse en tu refugio perfecto en Tulancingo! Vive la vida que mereces en ""La Morena"".",2023-11-16
16,B2,2890000,2890000,160756.12,2024-09-19,CASA EN VENTA EN TULANCINGO A 45 MINUTOS DE LA CIUDAD DE MEXICO,220,140,13136.363636363636,20642.85714285714,2023-05-05,11,2024-04-30,Casa,Venta,1,3,3,0,3.0,No,Conjunto Habitacional Los Mesones,0,"Conjunto Habitacional Los Mesones, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-9e6409a03fe5-da06-4354ce5b-bbea-3254,"Cochera sala comedor cocina 2 baños y medio terraza jardin 3 Recamaras vestidor en recamara principal estudio Sector privado opcion de chimenea , bar o cocina integralAmplio jardin. EasyBroker ID: EB-CD0497",2023-05-05
17,B2,2850000,2850000,158531.12,2024-09-19,BONITO DEPARTAMENTO EN  COL LA PAZ,95,95,30000.0,30000.0,2024-01-05,3,2024-04-30,Departamento,Venta,1,2,2,0,2.0,No,El Mirador,0,"El Mirador, Huauchinango, Puebla",https://www.lamudi.com.mx//detalle/41032-73-bc695da05ccc-338f-3cc449db-a987-4df0,"Muy ubicado departamento en colonia La Paz  cerca universidad UPAEP, centro, Galerias Serdan y a 10 minutos de centro comercial angelópolis.5to pisoConsta de: Cochera para 2 autosCocina integralSala comedor2 recamaras2 baños completos Roff Garden Precio $2,850,000Vigilancia 24 horasElevador",2024-01-05
18,B2,2758000,2758000,153413.63,2024-09-19,VVV VENTA DE CASA CALLE FRANZ VON LISZT JARDINES DEL SUR 3A SECC TULANCINGO DE BRAVO HIDALGO,70,140,39400.0,19700.0,2024-02-28,2,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Jardines del Sur,0,"Fraccionamiento Jardines del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-4c88e4b1cb97-8a55-3dcaa553-ad27-426f,"Gran oportunidad para invertir a precio por debajo de su valor comercial.adquiere este inmueble de recuperación, cartera vencida de créditos hipotecarios a través de cesión de derechos ante notario público.somos una empresa con experiencia en recuperaciones de cartera vencida.*pago solo con recursos propios, no se aceptan créditos.*no son de entrega inmediata.*inversión garantizada bajo contrato.*disponibilidad y precios sujetos a cambio sin previo aviso**características aproximadas, imágenes ilustrativas*contáctame para mayor información y agenda una cita:Vanessa Valencia Ver teléfono Whatsapp.ID: VVV // AZ92153",2024-02-28
19,B2,2758000,2758000,153413.63,2024-09-19,"Casa VENTA, Jardines del Sur, Tulancingo de Bravo",160,160,17237.5,17237.5,2024-02-29,2,2024-04-30,Casa,Venta,1,3,1,0,1.0,No,Jardines del Sur,0,"Fraccionamiento Jardines del Sur, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-467b23fd01cb-cb12-3a22ec63-8c62-4978,"Casa VENTA, Jardines del Sur, Tulancingo de BravoEHL ID AZ92153Propiedad en CESIÓN DE DERECHOS en Jardines del Sur, Tulancingo de Bravo• Solamente contado / NO CRÉDITOS• Entrega de 10 a 14 meses.• La vivienda sólo se puede ver por fuera.¿Te interesa?Llámanos al Ver teléfono Whatsapp o escríbenos al correo: ContactarPRECIOS Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO. *LOS DETALLES DEL INMUEBLE SON APROXIMADOS.Condición construcción: BuenaUso de suelo: HabitacionalMétodo de pago: CONTADOClave interna: EHL ID AZ92153",2024-02-29
20,B1,2700000,2700000,150187.38,2024-09-19,Amplia casa en venta Tulancingo Hgo.,232,200,11637.93103448276,13500.0,2023-10-20,6,2024-04-30,Casa,Venta,1,3,3,0,3.0,No,El Mirador,0,"Fraccionamiento El Mirador, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-7beec3489eb2-2e79-af1c855a-9632-4633,"🏵️ Vendo amplia casa en esquina de 2 niveles. 😃 El hogar ideal para una familia de 6 o más integrantes (más mascotas) fácil acceso, a 4 min. Al centro de la ciudad. 232 m. De terreno. 200.93 m. De construcción. Contiene:- 3 recamaras con closet cada una y baño en la principal- Baño para recamaras secundarias. - Sala - Comedor - Cocina - Zotano- Estacionamiento 2 autos. - Doble zaguán electrico. - Oficina - Cisterna - Bardas perimetrales con cerco electrificado. - Patio trasero para recreación o eventos. Precio $2,700,000.00 (más gastos de escrituracion)  Precio a tratar. ➖➖➖➖➖Más información con:👨🏽‍💼 Germán Romero Profesional Inmobiliario 📱 Ver teléfono Whatsapp",2023-10-20
21,B1,2650000,2650000,147406.13,2024-09-19,"CASA NUEVA EN VENTA RESIDENCIAL TERRANOVA, TULANCINGO.",202,135,13118.81188118812,19629.62962962963,2023-04-20,12,2024-04-30,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,La Cañada,0,"La Cañada, Tulancingo de Bravo, Hidalgo",https://www.lamudi.com.mx//detalle/41032-73-48844530cc85-8bf0-ff3c1c48-b7eb-39b9,"CASA EN VENTA TERRANOVA. Residencial Terranova es una zona con excelente plusvalía, gracias a su ubicación tiene cerca bancos, escuelas, central de autobuses, hospitales, avenidas importantes de Tulancingo y esta cerca de la Plaza del Vestido. La casa cuenta con:  3 recámaras. Recámara principal con baño. Sala-comedor. Cocina integral con barra desayunador. Jardín interior. Cuarto de lavado. Garaje 2 autos. Cisterna de 8,500 lts. Roof garden iluminado con asador.   PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO *El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. *Todas las imágenes mostradas son solo para fines ilustrativos y  pueden NO ser la representación exacta del inmueble.  Horario de atención Lunes a viernes: 10:00 a 14:00 y 17:00 a 19:00 Sábados: 10:00 a 14:00 Domingos: previa cita Mayores informes y citas: Ver teléfono Whatsapp // WhatsApp // WhatsApp // WhatsApp ""HAY UN LUGAR ESPERANDO SER TU HOGAR""",2023-04-20
