año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2022,1,21.0,Puebla,0.0,No distribuido,4,2,1,1,0.0,0.0,0.0,0.0,0,3898856.45,1
2022,1,21.0,Puebla,1.0,Acajete,1,2,1,2,1.0,1.0,3.0,0.0,1,0.0,2
2022,1,21.0,Puebla,1.0,Acajete,1,2,1,2,1.0,2.0,4.0,0.0,1,0.0,3
2022,1,21.0,Puebla,1.0,Acajete,2,2,1,2,1.0,1.0,2.0,1.0,1,42231.0,4
2022,1,21.0,Puebla,1.0,Acajete,2,2,1,2,1.0,2.0,3.0,1.0,1,81255.0,5
2022,1,21.0,Puebla,1.0,Acajete,4,2,1,1,1.0,2.0,0.0,0.0,1,0.0,6
2022,1,21.0,Puebla,1.0,Acajete,4,2,1,1,2.0,1.0,0.0,0.0,1,0.0,7
2022,1,21.0,Puebla,3.0,Acatlán,4,2,1,1,2.0,2.0,0.0,0.0,1,0.0,8
2022,1,21.0,Puebla,4.0,Acatzingo,1,2,1,2,1.0,2.0,4.0,0.0,1,0.0,9
2022,1,21.0,Puebla,4.0,Acatzingo,2,2,1,2,1.0,2.0,2.0,1.0,1,92358.0,10
2022,1,21.0,Puebla,4.0,Acatzingo,4,2,1,1,1.0,2.0,0.0,0.0,1,0.0,11
2022,1,21.0,Puebla,8.0,Ahuazotepec,2,4,6,1,1.0,2.0,6.0,5.0,1,2410800.0,12
2022,1,21.0,Puebla,10.0,Ajalpan,1,2,1,2,1.0,1.0,1.0,0.0,1,0.0,13
2022,1,21.0,Puebla,10.0,Ajalpan,2,2,1,2,1.0,1.0,1.0,1.0,1,25337.0,14
2022,1,21.0,Puebla,13.0,Altepexi,1,2,1,2,1.0,2.0,1.0,0.0,1,0.0,15
2022,1,21.0,Puebla,13.0,Altepexi,2,2,1,2,1.0,2.0,1.0,1.0,1,18798.0,16
2022,1,21.0,Puebla,13.0,Altepexi,4,2,1,1,1.0,2.0,0.0,0.0,1,0.0,17
2022,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,1.0,1.0,2.0,2.0,1,520039.26,18
2022,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,1.0,2.0,2.0,2.0,2,973566.58,19
2022,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,1.0,2.0,3.0,2.0,1,511365.85,20
2022,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,1.0,3.0,1.0,2.0,1,90790.53,21
2022,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,2.0,2.0,1.0,2.0,1,354887.57,22
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,1.0,0.0,3,0.0,23
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,2.0,0.0,2,0.0,24
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,3.0,0.0,1,0.0,25
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,4.0,0.0,1,0.0,26
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,2.0,2.0,1.0,0.0,1,0.0,27
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,1,1.0,2.0,2.0,1.0,3,349539.05,28
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,1,1.0,2.0,3.0,1.0,1,156326.92,29
2022,1,21.0,Puebla,15.0,Amozoc,1,2,1,1,1.0,2.0,4.0,1.0,2,324649.04,30
2022,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,1.0,2.0,3.0,3.0,1,312541.36,31
2022,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,1.0,2.0,4.0,3.0,1,788432.14,32
2022,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,2.0,1.0,3.0,4.0,1,478405.39,33
2022,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,2.0,2.0,3.0,4.0,1,597159.43,34
2022,1,21.0,Puebla,15.0,Amozoc,1,4,4,1,1.0,2.0,5.0,2.0,1,533148.61,35
2022,1,21.0,Puebla,15.0,Amozoc,2,1,2,2,1.0,2.0,1.0,2.0,1,122915.0,36
2022,1,21.0,Puebla,15.0,Amozoc,2,1,2,2,1.0,2.0,5.0,5.0,1,1449406.0,37
2022,1,21.0,Puebla,15.0,Amozoc,2,1,2,1,2.0,2.0,6.0,5.0,1,2161250.0,38
2022,1,21.0,Puebla,15.0,Amozoc,2,2,1,2,1.0,2.0,1.0,1.0,6,245258.0,39
2022,1,21.0,Puebla,15.0,Amozoc,2,2,1,2,1.0,2.0,3.0,1.0,1,129138.0,40
2022,1,21.0,Puebla,15.0,Amozoc,2,2,1,2,2.0,2.0,1.0,1.0,1,30241.0,41
2022,1,21.0,Puebla,15.0,Amozoc,4,2,1,1,1.0,2.0,0.0,0.0,1,0.0,42
