año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2023,1,21.0,Puebla,0.0,No distribuido,4,2,1,1,0.0,0.0,0.0,0.0,0,19817.75,1
2023,1,21.0,Puebla,1.0,Acajete,1,2,1,2,1.0,2.0,1.0,0.0,1,0.0,2
2023,1,21.0,Puebla,1.0,Acajete,1,2,1,2,1.0,3.0,6.0,0.0,1,0.0,3
2023,1,21.0,Puebla,1.0,Acajete,2,2,1,1,1.0,2.0,1.0,1.0,1,33908.0,4
2023,1,21.0,Puebla,1.0,Acajete,2,2,1,1,1.0,3.0,4.0,1.0,1,277298.0,5
2023,1,21.0,Puebla,1.0,Acajete,3,1,5,1,1.0,1.0,4.0,4.0,1,1112324.29,6
2023,1,21.0,Puebla,3.0,Acatlán,2,4,6,1,2.0,3.0,4.0,4.0,1,500000.0,7
2023,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,1.0,2.0,4.0,3.0,1,672522.08,8
2023,1,21.0,Puebla,15.0,Amozoc,1,1,2,1,2.0,1.0,2.0,3.0,1,340303.84,9
2023,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,1.0,0.0,2,0.0,10
2023,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,2.0,0.0,1,0.0,11
2023,1,21.0,Puebla,15.0,Amozoc,1,2,1,2,1.0,2.0,3.0,0.0,1,0.0,12
2023,1,21.0,Puebla,15.0,Amozoc,1,3,3,2,1.0,2.0,5.0,4.0,1,1168245.82,13
2023,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,1.0,1.0,2.0,2.0,1,481372.87,14
2023,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,1.0,1.0,5.0,3.0,1,747347.19,15
2023,1,21.0,Puebla,15.0,Amozoc,1,3,3,1,2.0,2.0,4.0,3.0,1,670285.72,16
2023,1,21.0,Puebla,15.0,Amozoc,1,3,10,2,1.0,1.0,2.0,0.0,1,0.0,17
2023,1,21.0,Puebla,15.0,Amozoc,1,4,7,1,1.0,1.0,6.0,3.0,1,736253.94,18
2023,1,21.0,Puebla,15.0,Amozoc,1,4,7,1,1.0,2.0,3.0,1.0,1,271383.85,19
2023,1,21.0,Puebla,15.0,Amozoc,2,1,5,1,1.0,2.0,3.0,6.0,1,1842000.0,20
2023,1,21.0,Puebla,15.0,Amozoc,2,1,5,1,1.0,2.0,5.0,5.0,1,2200000.0,21
2023,1,21.0,Puebla,15.0,Amozoc,2,2,1,2,1.0,2.0,1.0,1.0,1,25837.0,22
2023,1,21.0,Puebla,15.0,Amozoc,2,2,1,1,1.0,2.0,1.0,1.0,2,164388.0,23
2023,1,21.0,Puebla,15.0,Amozoc,3,1,2,1,1.0,2.0,3.0,4.0,1,943240.78,24
2023,1,21.0,Puebla,15.0,Amozoc,3,3,3,1,2.0,2.0,3.0,3.0,1,715245.89,25
2023,1,21.0,Puebla,19.0,Atlixco,1,1,2,2,1.0,0.0,6.0,3.0,1,0.0,26
2023,1,21.0,Puebla,19.0,Atlixco,1,1,2,1,1.0,1.0,1.0,2.0,1,472072.65,27
2023,1,21.0,Puebla,19.0,Atlixco,1,1,2,1,1.0,1.0,3.0,2.0,1,526298.02,28
2023,1,21.0,Puebla,19.0,Atlixco,1,1,2,1,2.0,2.0,1.0,2.0,1,420085.94,29
2023,1,21.0,Puebla,19.0,Atlixco,1,1,2,1,2.0,2.0,2.0,2.0,1,447886.75,30
2023,1,21.0,Puebla,19.0,Atlixco,1,2,1,2,2.0,2.0,1.0,0.0,1,0.0,31
2023,1,21.0,Puebla,19.0,Atlixco,1,3,3,1,1.0,2.0,1.0,2.0,1,465706.38,32
2023,1,21.0,Puebla,19.0,Atlixco,1,3,3,1,1.0,2.0,6.0,2.0,1,418169.93,33
2023,1,21.0,Puebla,19.0,Atlixco,1,4,7,1,1.0,2.0,4.0,3.0,1,754049.39,34
2023,1,21.0,Puebla,19.0,Atlixco,1,4,7,1,2.0,2.0,6.0,2.0,1,550751.22,35
2023,1,21.0,Puebla,19.0,Atlixco,2,1,2,1,1.0,3.0,6.0,5.0,1,2767400.0,36
2023,1,21.0,Puebla,19.0,Atlixco,2,1,5,1,1.0,2.0,6.0,6.0,1,6000000.0,37
2023,1,21.0,Puebla,19.0,Atlixco,2,2,1,1,2.0,2.0,1.0,1.0,1,71532.0,38
2023,1,21.0,Puebla,19.0,Atlixco,2,4,4,1,1.0,2.0,6.0,6.0,1,2650811.0,39
2023,1,21.0,Puebla,19.0,Atlixco,2,4,6,1,1.0,2.0,6.0,6.0,1,122251.0,40
2023,1,21.0,Puebla,19.0,Atlixco,3,3,3,1,1.0,2.0,3.0,3.0,1,757327.11,41
2023,1,21.0,Puebla,26.0,Calpan,1,2,1,2,2.0,2.0,1.0,0.0,1,0.0,42
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,2,1.0,1.0,4.0,4.0,1,371076.69,43
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,2,1.0,2.0,5.0,3.0,1,1021555.25,44
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,2,1.0,2.0,5.0,4.0,2,1981631.73,45
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,2,1.0,2.0,6.0,3.0,1,785462.0,46
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,2,2.0,1.0,4.0,3.0,1,330193.89,47
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,1.0,2.0,3.0,1,329463.53,48
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,1.0,6.0,3.0,1,957072.13,49
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,3.0,3.0,2,1119873.98,50
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,3.0,4.0,1,581230.1,51
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,4.0,3.0,1,934870.0,52
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,4.0,4.0,1,859474.11,53
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,6.0,3.0,1,780966.15,54
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,1.0,4.0,4.0,1,832059.14,55
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,4.0,3.0,3,2538722.67,56
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,5.0,3.0,1,1048532.29,57
2023,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,6.0,3.0,1,437273.83,58
2023,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,2.0,0.0,2,0.0,59
2023,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,4.0,0.0,2,0.0,60
2023,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,5.0,0.0,1,0.0,61
2023,1,21.0,Puebla,34.0,Coronango,1,3,3,1,1.0,1.0,2.0,1.0,1,377780.06,62
2023,1,21.0,Puebla,34.0,Coronango,1,3,3,1,2.0,2.0,1.0,2.0,1,479010.05,63
2023,1,21.0,Puebla,34.0,Coronango,1,3,3,1,2.0,2.0,1.0,3.0,1,227121.26,64
2023,1,21.0,Puebla,34.0,Coronango,1,3,3,1,2.0,2.0,3.0,3.0,1,497292.21,65
2023,1,21.0,Puebla,34.0,Coronango,1,3,3,1,2.0,2.0,5.0,3.0,1,1056775.22,66
2023,1,21.0,Puebla,34.0,Coronango,2,1,2,2,1.0,2.0,3.0,3.0,1,956088.0,67
2023,1,21.0,Puebla,34.0,Coronango,2,1,2,2,1.0,2.0,3.0,4.0,1,490446.0,68
2023,1,21.0,Puebla,34.0,Coronango,2,1,2,2,2.0,1.0,2.0,3.0,1,479806.0,69
