año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2020,1,21.0,Puebla,0.0,No distribuido,4,2,1.0,1,0.0,0.0,0.0,0.0,0.0,4569720.0,1
2020,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,1.0,1.0,0.0,4.0,0.0,2
2020,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,1.0,2.0,0.0,1.0,0.0,3
2020,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,2.0,1.0,0.0,3.0,0.0,4
2020,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,2.0,2.0,0.0,1.0,0.0,5
2020,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,2.0,3.0,0.0,2.0,0.0,6
2020,1,21.0,Puebla,1.0,Acajete,4,2,1.0,1,2.0,3.0,1.0,0.0,1.0,0.0,7
2020,1,21.0,Puebla,4.0,Acatzingo,1,2,1.0,1,2.0,2.0,1.0,2.0,1.0,356499.8,8
2020,1,21.0,Puebla,4.0,Acatzingo,4,2,1.0,1,1.0,1.0,1.0,0.0,1.0,0.0,9
2020,1,21.0,Puebla,4.0,Acatzingo,4,2,1.0,1,1.0,2.0,1.0,0.0,1.0,0.0,10
2020,1,21.0,Puebla,4.0,Acatzingo,4,2,1.0,1,1.0,3.0,1.0,0.0,1.0,0.0,11
2020,1,21.0,Puebla,4.0,Acatzingo,4,2,1.0,1,2.0,1.0,1.0,0.0,4.0,0.0,12
2020,1,21.0,Puebla,10.0,Ajalpan,1,2,1.0,2,1.0,2.0,1.0,0.0,1.0,0.0,13
2020,1,21.0,Puebla,10.0,Ajalpan,2,2,1.0,2,1.0,2.0,1.0,1.0,1.0,22859.0,14
2020,1,21.0,Puebla,10.0,Ajalpan,4,2,1.0,1,2.0,1.0,1.0,0.0,2.0,0.0,15
2020,1,21.0,Puebla,10.0,Ajalpan,4,2,1.0,1,2.0,1.0,2.0,0.0,2.0,0.0,16
2020,1,21.0,Puebla,10.0,Ajalpan,4,2,1.0,1,2.0,1.0,3.0,0.0,1.0,0.0,17
2020,1,21.0,Puebla,10.0,Ajalpan,4,2,1.0,1,2.0,2.0,1.0,0.0,5.0,0.0,18
2020,1,21.0,Puebla,10.0,Ajalpan,4,2,1.0,1,2.0,2.0,2.0,0.0,5.0,0.0,19
2020,1,21.0,Puebla,10.0,Ajalpan,4,2,1.0,1,2.0,2.0,3.0,0.0,1.0,0.0,20
2020,1,21.0,Puebla,13.0,Altepexi,1,2,1.0,2,1.0,2.0,1.0,0.0,1.0,0.0,21
2020,1,21.0,Puebla,13.0,Altepexi,4,2,1.0,1,2.0,1.0,2.0,0.0,1.0,0.0,22
2020,1,21.0,Puebla,13.0,Altepexi,4,2,1.0,1,2.0,2.0,2.0,0.0,1.0,0.0,23
2020,1,21.0,Puebla,13.0,Altepexi,4,2,1.0,1,2.0,3.0,3.0,0.0,1.0,0.0,24
2020,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,2,1.0,2.0,6.0,4.0,1.0,993215.91,25
2020,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,1.0,4.0,3.0,1.0,760753.14,26
2020,1,21.0,Puebla,15.0,Amozoc,1,1,2.0,1,1.0,2.0,5.0,3.0,1.0,767839.69,27
2020,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,2.0,2.0,0.0,1.0,0.0,28
2020,1,21.0,Puebla,15.0,Amozoc,1,2,1.0,2,1.0,2.0,3.0,0.0,1.0,0.0,29
