año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,2,1.0,1.0,6.0,4.0,1.0,379694.77,1
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,2,1.0,2.0,2.0,3.0,1.0,156134.32,2
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,2,1.0,2.0,5.0,3.0,1.0,312471.88,3
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,2,1.0,2.0,6.0,4.0,2.0,3263606.87,4
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,2,2.0,2.0,6.0,4.0,2.0,2324973.93,5
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,1.0,1.0,3.0,2.0,638326.91,6
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,1.0,2.0,2.0,3.0,1385595.5,7
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,1.0,3.0,2.0,1.0,502654.27,8
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,1.0,6.0,4.0,1.0,1084984.45,9
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,2.0,1.0,2.0,2.0,591133.66,10
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,2.0,1.0,3.0,3.0,1016394.07,11
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,2.0,2.0,2.0,1.0,479893.77,12
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,1.0,2.0,3.0,3.0,1.0,483066.56,13
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,1.0,4.0,3.0,1.0,603122.98,14
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,2.0,1.0,2.0,1.0,264912.02,15
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,2.0,1.0,3.0,2.0,544201.45,16
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,2.0,2.0,2.0,1.0,484334.09,17
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,2.0,2.0,3.0,1.0,393916.19,18
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,2.0,2.0,4.0,1.0,482366.64,19
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,1,2.0,1,2.0,2.0,3.0,4.0,1.0,528111.98,20
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,1.0,1.0,0.0,6.0,0.0,21
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,1.0,2.0,0.0,4.0,0.0,22
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,1.0,3.0,0.0,1.0,0.0,23
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,2.0,1.0,0.0,14.0,0.0,24
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,2.0,2.0,0.0,7.0,0.0,25
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,2.0,3.0,0.0,3.0,0.0,26
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,2.0,4.0,0.0,5.0,0.0,27
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,2.0,5.0,0.0,1.0,0.0,28
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,2.0,6.0,0.0,1.0,0.0,29
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,1.0,3.0,1.0,0.0,1.0,0.0,30
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,1.0,1.0,0.0,1.0,0.0,31
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,1.0,2.0,0.0,4.0,0.0,32
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,2.0,1.0,0.0,7.0,0.0,33
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,2.0,2.0,0.0,5.0,0.0,34
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,2.0,3.0,0.0,2.0,0.0,35
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,2.0,4.0,0.0,3.0,0.0,36
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,2,2.0,2.0,5.0,0.0,1.0,0.0,37
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,1,1.0,2.0,1.0,1.0,1.0,79629.15,38
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,1,1.0,2.0,4.0,1.0,1.0,165765.04,39
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,1,2.0,2.0,1.0,1.0,1.0,113951.97,40
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,2,1.0,1,2.0,2.0,4.0,1.0,1.0,82846.34,41
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,3,3.0,2,1.0,2.0,2.0,4.0,1.0,114003.52,42
2021,1,14.0,Jalisco,67.0,Puerto Vallarta,1,3,3.0,2,2.0,1.0,4.0,3.0,1.0,567556.09,43
