año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id,year
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,3,3,1,1.0,2.0,6.0,4.0,2.0,3358310.01,41,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,3,3,1,2.0,1.0,1.0,4.0,1.0,455346.65,42,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,3,3,1,2.0,1.0,3.0,3.0,1.0,513504.33,43,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,3,3,1,2.0,1.0,4.0,4.0,1.0,827586.23,44,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,3,3,1,2.0,2.0,5.0,2.0,1.0,378236.65,45,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,3,3,1,2.0,2.0,6.0,4.0,1.0,1917889.72,46,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,4,7,1,1.0,2.0,2.0,2.0,1.0,504333.1,47,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,4,7,1,1.0,2.0,6.0,3.0,1.0,813570.81,48,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,1,4,7,1,2.0,2.0,6.0,3.0,1.0,1125618.08,49,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,1.0,2.0,4.0,4.0,1.0,1487500.0,50,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,1.0,2.0,5.0,5.0,1.0,2208741.0,51,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,1.0,2.0,6.0,5.0,2.0,3998980.0,52,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,1.0,2.0,6.0,6.0,1.0,5111050.0,53,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,1.0,3.0,4.0,4.0,1.0,1995000.0,54,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,1.0,3.0,5.0,4.0,1.0,1667700.0,55,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,2.0,2.0,2.0,4.0,1.0,1318162.0,56,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,2.0,2.0,4.0,5.0,1.0,2757600.0,57,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,2.0,2.0,5.0,4.0,1.0,1705900.0,58,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,2.0,2.0,6.0,5.0,1.0,2880000.0,59,2024
2024,1,13.0,Hidalgo,48.0,Pachuca de Soto,2,1,2,1,2.0,2.0,6.0,6.0,1.0,6035000.0,60,2024
